skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_sv_antal_m_betyg_tcv1,skolverket_sv_andel_sankt_tcv1,skolverket_sv_andel_lika_tcv1,skolverket_sv_andel_hojt_tcv1,skolverket_ma_antal_m_betyg_tcv1,skolverket_ma_andel_sankt_tcv1,skolverket_ma_andel_lika_tcv1,skolverket_ma_andel_hojt_tcv1,skolverket_en_antal_m_betyg_tcv1,skolverket_en_andel_sankt_tcv1,skolverket_en_andel_lika_tcv1,skolverket_en_andel_hojt_tcv1,skolverket_sva_antal_m_betyg_tcv1,skolverket_sva_andel_sankt_tcv1,skolverket_sva_andel_lika_tcv1,skolverket_sva_andel_hojt_tcv1,year
Myrsjöskolan,84884375,Nacka,0182,Kommunal,Nacka,2120000167,199,"9,5","64,8","25,6",.,.,.,.,205,"15,6","79,0","5,4",.,.,.,.,2018
Saltsjöbadens samskola,11777750,Nacka,0182,Kommunal,Nacka,2120000167,.,.,.,.,.,.,.,.,85,"9,4","84,7","5,9",.,.,.,.,2018
Skuru skola,85321366,Nacka,0182,Kommunal,Nacka,2120000167,109,"22,9","61,5","15,6",.,.,.,.,119,"16,0","63,0","21,0",.,.,.,.,2018
Stavsborgsskolan,14040970,Nacka,0182,Kommunal,Nacka,2120000167,90,"8,9","53,3","37,8",.,.,.,.,95,"20,0","76,8","3,2",.,.,.,.,2018
Karlsängsskolan,40684137,Nora,1884,Kommunal,Nora,2120002007,97,"5,2","62,9","32,0",.,.,.,.,97,"17,5","71,1","11,3",.,.,.,.,2018
Centralskolan,22347371,Norberg,1962,Kommunal,Norberg,2120002072,46,"2,2","60,9","37,0",.,.,.,.,52,"5,8","75,0","19,2",.,.,.,.,2018
Bergsjö Centralskola år 7-9,95045408,Nordanstig,2132,Kommunal,Nordanstig,2120002312,56,"1,8","55,4","42,9",.,.,.,.,60,.,"86,7","13,3",.,.,.,.,2018
Artediskolan åk 6-9,58185455,Nordmaling,2401,Kommunal,Nordmaling,2120002536,59,"10,2","72,9","16,9",.,.,.,.,68,"8,8","80,9","10,3",.,.,.,.,2018
Borgsmoskolan 2,42813460,Norrköping,0581,Kommunal,Norrköping,2120000456,60,"11,7","70,0","18,3",.,.,.,.,74,"6,8","59,5","33,8",21,"4,8","57,1","38,1",2018
Djäkneparksskolan 2,15063173,Norrköping,0581,Kommunal,Norrköping,2120000456,98,"12,2","51,0","36,7",.,.,.,.,125,"4,0","80,0","16,0",34,"5,9","52,9","41,2",2018
Ektorpsskolan 2,37133485,Norrköping,0581,Kommunal,Norrköping,2120000456,78,"7,7","44,9","47,4",.,.,.,.,94,"5,3","50,0","44,7",20,.,"30,0","70,0",2018
Enebyskolan 1,24625357,Norrköping,0581,Kommunal,Norrköping,2120000456,71,.,"54,9","45,1",.,.,.,.,74,"14,9","71,6","13,5",.,.,.,.,2018
Enebyskolan 2,35609364,Norrköping,0581,Kommunal,Norrköping,2120000456,55,.,"61,8","38,2",.,.,.,.,56,"10,7","73,2","16,1",.,.,.,.,2018
Erlaskolan Norrköping Södra,72526185,Norrköping,0581,Enskild,Lärande i Sverige AB,5565715892,30,"16,7","76,7","6,7",.,.,.,.,42,"26,2","73,8",.,.,.,.,.,2018
Erlaskolan Norrköping Östra,90838156,Norrköping,0581,Enskild,Lärande i Sverige AB,5565715892,42,"11,9","78,6","9,5",.,.,.,.,45,"6,7","77,8","15,6",.,.,.,.,2018
Hagaskolan 1,17315625,Norrköping,0581,Kommunal,Norrköping,2120000456,66,"28,8","59,1","12,1",.,.,.,.,92,"20,7","64,1","15,2",29,"13,8","55,2","31,0",2018
Hultdalsskolan,40393888,Norrköping,0581,Kommunal,Norrköping,2120000456,90,"3,3","51,1","45,6",.,.,.,.,93,"17,2","64,5","18,3",.,.,.,.,2018
Johannesskolan Norrkpg Kr Sk,57529996,Norrköping,0581,Enskild,Stiftelsen Församlingen Agape,8190009996,.,.,.,.,.,.,.,.,19,"5,3","68,4","26,3",.,.,.,.,2018
Jönsbergska Idrottsskolan,61454000,Norrköping,0581,Enskild,Jönsbergska Idrottsskolan Norrköping AB,5566765920,52,"11,5","59,6","28,8",.,.,.,.,52,.,"82,7","17,3",.,.,.,.,2018
Klingsborgsskolan 1,24979620,Norrköping,0581,Kommunal,Norrköping,2120000456,.,.,.,.,.,.,.,.,73,"30,1","63,0","6,8",61,.,"88,5","11,5",2018
Kunskapsskolan Norrköping,77437748,Norrköping,0581,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,99,"13,1","64,6","22,2",.,.,.,.,103,"9,7","77,7","12,6",.,.,.,.,2018
Mosstorpskolan 2,67224193,Norrköping,0581,Kommunal,Norrköping,2120000456,51,"7,8","51,0","41,2",.,.,.,.,50,"16,0","62,0","22,0",.,.,.,.,2018
Navestadsskolan 3,41960783,Norrköping,0581,Kommunal,Norrköping,2120000456,73,"11,0","63,0","26,0",.,.,.,.,96,"3,1","65,6","31,3",30,"6,7","53,3","40,0",2018
"Prolympia, Norrköping",16013826,Norrköping,0581,Enskild,Prolympia AB,5567026454,109,"23,9","50,5","25,7",.,.,.,.,.,.,.,.,.,.,.,.,2018
"Rudolf Steinerskolan, gr",33530590,Norrköping,0581,Enskild,Rudolf Steinerskolan,8250013037,17,.,"70,6","29,4",.,.,.,.,18,"5,6","55,6","38,9",.,.,.,.,2018
Råsslaskolan 1,80621158,Norrköping,0581,Kommunal,Norrköping,2120000456,47,.,"42,6","57,4",.,.,.,.,47,"12,8","66,0","21,3",.,.,.,.,2018
Vikbolandsskolan 1,86323840,Norrköping,0581,Kommunal,Norrköping,2120000456,37,"10,8","29,7","59,5",.,.,.,.,38,"5,3","84,2","10,5",.,.,.,.,2018
Vittra Röda stan,38936292,Norrköping,0581,Enskild,Vittraskolorna AB,5564586716,24,.,"87,5","12,5",.,.,.,.,23,"17,4","78,3","4,3",.,.,.,.,2018
"Ekebyholmsskolan, gr",98239828,Norrtälje,0188,Enskild,Ekebyholmsskolan Aktiebolag,5562512425,25,"24,0","64,0","12,0",.,.,.,.,24,"4,2","91,7","4,2",.,.,.,.,2018
Freinetskolan Hugin,89692072,Norrtälje,0188,Enskild,Freinetskolan Hugin Ekonomisk förening,7696188189,21,"9,5","71,4","19,0",.,.,.,.,23,.,"91,3","8,7",.,.,.,.,2018
Freinetskolan Mimer,45133950,Norrtälje,0188,Enskild,Freinetskolan Mimer ekonomisk förening,7696021117,23,"8,7","69,6","21,7",.,.,.,.,21,"4,8","81,0","14,3",.,.,.,.,2018
Grindskolan,29416145,Norrtälje,0188,Kommunal,Norrtälje,2120000217,47,"12,8","72,3","14,9",.,.,.,.,47,"17,0","72,3","10,6",.,.,.,.,2018
Hallsta skola,24146389,Norrtälje,0188,Kommunal,Norrtälje,2120000217,60,"10,0","63,3","26,7",.,.,.,.,61,"13,1","85,2","1,6",.,.,.,.,2018
Långsjöskolan,99749462,Norrtälje,0188,Kommunal,Norrtälje,2120000217,65,"3,1","38,5","58,5",.,.,.,.,80,"18,8","68,8","12,5",.,.,.,.,2018
Länna skola,72471883,Norrtälje,0188,Kommunal,Norrtälje,2120000217,27,"22,2","59,3","18,5",.,.,.,.,25,"4,0","96,0",.,.,.,.,.,2018
Montessoriskolan - Gustafslund,26281697,Norrtälje,0188,Enskild,Montessori i Norrtälje AB,5562855410,24,"16,7","58,3","25,0",.,.,.,.,23,"13,0","73,9","13,0",.,.,.,.,2018
Norrsundsskolan,39351914,Norrtälje,0188,Kommunal,Norrtälje,2120000217,21,.,"95,2","4,8",.,.,.,.,25,"12,0","76,0","12,0",.,.,.,.,2018
Roslagsskolan,31851256,Norrtälje,0188,Kommunal,Norrtälje,2120000217,171,"2,3","72,5","25,1",.,.,.,.,182,"4,9","67,0","28,0",.,.,.,.,2018
Svanbergaskolan,59975651,Norrtälje,0188,Kommunal,Norrtälje,2120000217,52,"19,2","55,8","25,0",.,.,.,.,55,"29,1","63,6","7,3",.,.,.,.,2018
Viby friskola,54806839,Norrtälje,0188,Enskild,Ogenholts Friskola AB,5565533873,16,.,"93,8","6,3",.,.,.,.,16,.,"100,0",.,.,.,.,.,2018
Norsjöskolan F-9,10421130,Norsjö,2417,Kommunal,Norsjö,2120002858,36,"11,1","66,7","22,2",.,.,.,.,45,"13,3","55,6","31,1",.,.,.,.,2018
Madesjöskolan Ma02,38198417,Nybro,0881,Kommunal,Nybro,2120000753,55,"16,4","58,2","25,5",.,.,.,.,59,"23,7","71,2","5,1",.,.,.,.,2018
Paradisskolan Pa02,79650118,Nybro,0881,Kommunal,Nybro,2120000753,106,"7,5","76,4","16,0",.,.,.,.,115,"5,2","77,4","17,4",.,.,.,.,2018
Lillhagaskolan,99640618,Nykvarn,0140,Kommunal,Nykvarn,2120002999,141,"7,8","49,6","42,6",.,.,.,.,144,"9,7","62,5","27,8",.,.,.,.,2018
Fokusskolan,18915192,Nyköping,0480,Enskild,Nyfo AB,5567812291,17,"17,6","35,3","47,1",.,.,.,.,16,"12,5","87,5",.,.,.,.,.,2018
Kunskapsskolan Nyköping,88046003,Nyköping,0480,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,88,"18,2","46,6","35,2",.,.,.,.,89,"14,6","82,0","3,4",.,.,.,.,2018
Nyköpings Friskola Östra Kyrkogatan,90949432,Nyköping,0480,Enskild,Pysslingen Förskolor och Skolor AB,5560354309,19,"26,3","57,9","15,8",.,.,.,.,24,"25,0","75,0",.,.,.,.,.,2018
Nyköpings högstadium,99757444,Nyköping,0480,Kommunal,Nyköping,2120002940,299,"6,7","60,5","32,8",.,.,.,.,349,"15,5","67,6","16,9",62,"4,8","51,6","43,5",2018
Vittra Kungshagen,50698424,Nyköping,0480,Enskild,Vittraskolorna AB,5564586716,31,.,"45,2","54,8",.,.,.,.,30,"13,3","70,0","16,7",.,.,.,.,2018
Gröndalsskolan F-9,65717061,Nynäshamn,0192,Kommunal,Nynäshamn,2120000233,62,"6,5","46,8","46,8",.,.,.,.,71,"7,0","78,9","14,1",.,.,.,.,2018
Sunnerbyskolan 4-9,78703073,Nynäshamn,0192,Kommunal,Nynäshamn,2120000233,53,.,"73,6","26,4",.,.,.,.,49,"4,1","77,6","18,4",.,.,.,.,2018
Vanstaskolan 4-9,73184416,Nynäshamn,0192,Kommunal,Nynäshamn,2120000233,57,"1,8","73,7","24,6",.,.,.,.,62,.,"85,5","14,5",.,.,.,.,2018
Viaskolan 6-9,34814578,Nynäshamn,0192,Kommunal,Nynäshamn,2120000233,49,.,"75,5","24,5",.,.,.,.,55,"18,2","70,9","10,9",.,.,.,.,2018
Brinells högstadium,27489659,Nässjö,0682,Kommunal,Nässjö,2120000548,74,"8,1","67,6","24,3",.,.,.,.,89,"14,6","83,1","2,2",16,.,"81,3","18,8",2018
Norråsaskolan,19118399,Nässjö,0682,Kommunal,Nässjö,2120000548,129,"13,2","64,3","22,5",.,.,.,.,143,"17,5","68,5","14,0",23,.,"52,2","47,8",2018
Parkskolan 7-9,97882848,Nässjö,0682,Kommunal,Nässjö,2120000548,52,"3,8","67,3","28,8",.,.,.,.,58,"22,4","75,9","1,7",.,.,.,.,2018
Rosenholmsskolan 4-9,66394964,Nässjö,0682,Kommunal,Nässjö,2120000548,26,"3,8","42,3","53,8",.,.,.,.,24,.,"79,2","20,8",.,.,.,.,2018
Perslundaskolan,40000547,Ockelbo,2101,Kommunal,Ockelbo,2120002288,36,"8,3","58,3","33,3",.,.,.,.,35,"11,4","71,4","17,1",.,.,.,.,2018
Högavångsskolan,53603984,Olofström,1060,Kommunal,Olofström,2120000811,100,"1,0","65,0","34,0",.,.,.,.,120,"6,7","80,0","13,3",16,.,"50,0","50,0",2018
Orsaskolan,19694910,Orsa,2034,Kommunal,Orsa,2120002189,65,"4,6","72,3","23,1",.,.,.,.,63,"1,6","90,5","7,9",.,.,.,.,2018
Henåns skola 7-9,76943513,Orust,1421,Kommunal,Orust,2120001314,68,"7,4","51,5","41,2",.,.,.,.,70,"28,6","70,0","1,4",.,.,.,.,2018
Ängås skola 7-9,34557677,Orust,1421,Kommunal,Orust,2120001314,64,"20,3","67,2","12,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Hasslarödsskolan 7-9,13184976,Osby,1273,Kommunal,Osby,2120000902,53,"1,9","75,5","22,6",.,.,.,.,59,"27,1","71,2","1,7",.,.,.,.,2018
Parkskolan 4-9,61939706,Osby,1273,Kommunal,Osby,2120000902,33,"12,1","63,6","24,2",.,.,.,.,.,.,.,.,.,.,.,.,2018
Örkenedskolan F-9,21002578,Osby,1273,Kommunal,Osby,2120000902,26,"7,7","61,5","30,8",.,.,.,.,.,.,.,.,.,.,.,.,2018
Kristinebergskolan 7-9,73392316,Oskarshamn,0882,Kommunal,Oskarshamn,2120000761,104,"15,4","72,1","12,5",.,.,.,.,107,"5,6","84,1","10,3",.,.,.,.,2018
Rödsleskolan 7-9,40041600,Oskarshamn,0882,Kommunal,Oskarshamn,2120000761,110,"13,6","70,9","15,5",.,.,.,.,114,"12,3","74,6","13,2",.,.,.,.,2018
Vallhallaskolan 7-9,46592871,Oskarshamn,0882,Kommunal,Oskarshamn,2120000761,89,"3,4","74,2","22,5",.,.,.,.,106,"40,6","55,7","3,8",.,.,.,.,2018
Alftaskolan 7-9,92304123,Ovanåker,2121,Kommunal,Ovanåker,2120002304,.,.,.,.,.,.,.,.,37,.,"81,1","18,9",.,.,.,.,2018
Celsiusskolan 7-9,43362307,Ovanåker,2121,Kommunal,Ovanåker,2120002304,62,"1,6","75,8","22,6",.,.,.,.,65,"10,8","78,5","10,8",.,.,.,.,2018
Breviksskolan åk 6-9,34893654,Oxelösund,0481,Kommunal,Oxelösund,2120000324,67,"1,5","34,3","64,2",.,.,.,.,72,"2,8","73,6","23,6",.,.,.,.,2018
Pajala Centralskola,12443258,Pajala,2521,Kommunal,Pajala,2120002718,44,.,"63,6","36,4",.,.,.,.,43,"14,0","72,1","14,0",.,.,.,.,2018
Björndammens skola 5-9,98209377,Partille,1402,Kommunal,Partille,2120001272,26,"23,1","46,2","30,8",.,.,.,.,31,"19,4","71,0","9,7",.,.,.,.,2018
Casa Montessori,68358072,Partille,1402,Enskild,Montessoristiftelsen i Partille,8572054610,20,"10,0","70,0","20,0",.,.,.,.,19,"5,3","68,4","26,3",.,.,.,.,2018
Furulunds skola 6-9,89146220,Partille,1402,Kommunal,Partille,2120001272,61,"1,6","63,9","34,4",.,.,.,.,62,"4,8","69,4","25,8",.,.,.,.,2018
Lexby skola 6-9,51610240,Partille,1402,Kommunal,Partille,2120001272,98,"1,0","62,2","36,7",.,.,.,.,92,"1,1","81,5","17,4",.,.,.,.,2018
Ugglums skola 6-9,78100490,Partille,1402,Kommunal,Partille,2120001272,78,"16,7","55,1","28,2",.,.,.,.,78,"6,4","87,2","6,4",.,.,.,.,2018
Vallhamra skola 7-9,92848832,Partille,1402,Kommunal,Partille,2120001272,92,"19,6","62,0","18,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Öjersjö Brunn skola 4-9,49402521,Partille,1402,Kommunal,Partille,2120001272,42,"9,5","61,9","28,6",.,.,.,.,41,"2,4","82,9","14,6",.,.,.,.,2018
Centralskolan 7-9,45023939,Perstorp,1275,Kommunal,Perstorp,2120000910,64,"15,6","56,3","28,1",.,.,.,.,76,"14,5","81,6","3,9",.,.,.,.,2018
Christinaskolan,94591900,Piteå,2581,Kommunal,Piteå,2120002759,80,"10,0","81,3","8,8",.,.,.,.,84,"28,6","69,0","2,4",.,.,.,.,2018
Hortlax skola,10185533,Piteå,2581,Kommunal,Piteå,2120002759,97,"7,2","69,1","23,7",.,.,.,.,99,"25,3","69,7","5,1",.,.,.,.,2018
Pitholmsskolan 7-9,18339846,Piteå,2581,Kommunal,Piteå,2120002759,76,"9,2","63,2","27,6",.,.,.,.,76,"17,1","67,1","15,8",.,.,.,.,2018
Porsnässkolan,18748381,Piteå,2581,Kommunal,Piteå,2120002759,56,"5,4","76,8","17,9",.,.,.,.,54,"24,1","63,0","13,0",.,.,.,.,2018
Sjulnässkolan,42296356,Piteå,2581,Kommunal,Piteå,2120002759,60,"6,7","48,3","45,0",.,.,.,.,60,"3,3","91,7","5,0",.,.,.,.,2018
Solanderskolan,69993304,Piteå,2581,Kommunal,Piteå,2120002759,42,"23,8","69,0","7,1",.,.,.,.,50,"18,0","78,0","4,0",.,.,.,.,2018
Anders-Olofskolan,78545687,Ragunda,2303,Kommunal,Ragunda,2120002452,43,"11,6","48,8","39,5",.,.,.,.,48,.,"87,5","12,5",.,.,.,.,2018
Tundalsskolan åk 7-9,74131494,Robertsfors,2409,Kommunal,Robertsfors,2120002551,62,"16,1","67,7","16,1",.,.,.,.,46,"19,6","78,3","2,2",.,.,.,.,2018
Kallingeskolan 7-9,53155267,Ronneby,1081,Kommunal,Ronneby,2120000837,91,"5,5","65,9","28,6",.,.,.,.,99,"9,1","74,7","16,2",.,.,.,.,2018
Snäckebacksskolan,73745566,Ronneby,1081,Kommunal,Ronneby,2120000837,127,"6,3","59,8","33,9",.,.,.,.,153,"9,8","71,2","19,0",25,"4,0","84,0","12,0",2018
Thoren Framtid i Ronneby,38449858,Ronneby,1081,Enskild,Thoren Framtid AB,5567497051,38,"10,5","60,5","28,9",.,.,.,.,34,"5,9","64,7","29,4",.,.,.,.,2018
Furudals centralskola,30917018,Rättvik,2031,Kommunal,Rättvik,2120002171,18,"5,6","94,4",.,.,.,.,.,21,"4,8","66,7","28,6",.,.,.,.,2018
Rättviksskolan,73451967,Rättvik,2031,Kommunal,Rättvik,2120002171,91,"3,3","54,9","41,8",.,.,.,.,90,"5,6","72,2","22,2",.,.,.,.,2018
Ekebyskolan,36193586,Sala,1981,Kommunal,Sala,2120002098,85,"7,1","49,4","43,5",.,.,.,.,86,"11,6","53,5","34,9",.,.,.,.,2018
Vallaskolan 7-9,64954528,Sala,1981,Kommunal,Sala,2120002098,93,"10,8","61,3","28,0",.,.,.,.,108,"15,7","71,3","13,0",17,"5,9","52,9","41,2",2018
Nytorpsskolan,36262199,Salem,0128,Kommunal,Salem,2120002874,28,"14,3","57,1","28,6",.,.,.,.,29,"31,0","69,0",.,.,.,.,.,2018
Skogsängsskolan,58385274,Salem,0128,Kommunal,Salem,2120002874,35,"11,4","62,9","25,7",.,.,.,.,45,"17,8","75,6","6,7",.,.,.,.,2018
Säbyskolan,92406445,Salem,0128,Kommunal,Salem,2120002874,25,"12,0","68,0","20,0",.,.,.,.,36,"11,1","75,0","13,9",.,.,.,.,2018
Söderby friskola,56858061,Salem,0128,Enskild,Söderby Friskola Ekonomisk Förening,7696016117,26,.,"88,5","11,5",.,.,.,.,26,"3,8","76,9","19,2",.,.,.,.,2018
Björksätraskolan F-9,53803818,Sandviken,2181,Kommunal,Sandviken,2120002346,82,"4,9","65,9","29,3",.,.,.,.,100,"17,0","76,0","7,0",20,"10,0","85,0","5,0",2018
Hedängskolan 7-9,23876630,Sandviken,2181,Kommunal,Sandviken,2120002346,54,"5,6","44,4","50,0",.,.,.,.,54,"5,6","72,2","22,2",.,.,.,.,2018
Jernvallsskolan 7-9,30006957,Sandviken,2181,Kommunal,Sandviken,2120002346,.,.,.,.,.,.,.,.,48,"16,7","75,0","8,3",.,.,.,.,2018
Murgårdsskolan,78907748,Sandviken,2181,Kommunal,Sandviken,2120002346,58,"5,2","43,1","51,7",.,.,.,.,77,"5,2","63,6","31,2",25,.,"56,0","44,0",2018
Norrsätraskolan,80131736,Sandviken,2181,Kommunal,Sandviken,2120002346,25,"12,0","40,0","48,0",.,.,.,.,64,"14,1","78,1","7,8",26,"3,8","50,0","46,2",2018
Sandvikens Montessoriskola,17233525,Sandviken,2181,Enskild,Sandvikens Friskola AB,5590474481,21,"4,8","76,2","19,0",.,.,.,.,19,"21,1","78,9",.,.,.,.,.,2018
Ekillaskolan,14261356,Sigtuna,0191,Kommunal,Sigtuna,2120000225,103,"12,6","68,9","18,4",.,.,.,.,140,"15,0","65,7","19,3",36,"5,6","72,2","22,2",2018
"Josefinaskolan, grundskola",55508705,Sigtuna,0191,Enskild,Stiftelsen Josefinaskolan,8148007258,18,"11,1","72,2","16,7",.,.,.,.,18,"5,6","94,4",.,.,.,.,.,2018
"Sigtunaskolan hum. läroverket, gr",70883860,Sigtuna,0191,Enskild,Sigtuna Skolstiftelse,8148002879,50,"6,0","78,0","16,0",.,.,.,.,50,"8,0","82,0","10,0",.,.,.,.,2018
Skolan Bergius,35008423,Sigtuna,0191,Enskild,Sigtuna Friskola AB,5567482707,.,.,.,.,.,.,.,.,56,"7,1","80,4","12,5",.,.,.,.,2018
S:t Olofs skola,13579948,Sigtuna,0191,Kommunal,Sigtuna,2120000225,102,"2,9","46,1","51,0",.,.,.,.,117,"5,1","77,8","17,1",.,.,.,.,2018
Valstaskolan 7-9,61234191,Sigtuna,0191,Kommunal,Sigtuna,2120000225,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2018
Korsavadsskolan,66350640,Simrishamn,1291,Kommunal,Simrishamn,2120000969,112,"6,3","54,5","39,3",.,.,.,.,119,"3,4","78,2","18,5",20,.,"65,0","35,0",2018
Nils Holgerssonskolan,24445412,Simrishamn,1291,Enskild,Föräldrakooperativet Nils Holgerssonskolan Ek Fö,7696014666,23,.,"69,6","30,4",.,.,.,.,24,.,"95,8","4,2",.,.,.,.,2018
Sophiaskolan,59958745,Simrishamn,1291,Enskild,"Stift Sophiaskolan, Österlens Waldorfskola",8388005517,22,"4,5","95,5",.,.,.,.,.,22,.,"90,9","9,1",.,.,.,.,2018
Emanuelskolan,37998000,Sjöbo,1265,Kommunal,Sjöbo,2120001090,51,"2,0","33,3","64,7",.,.,.,.,51,"29,4","60,8","9,8",.,.,.,.,2018
"Färsingaskolan, åk 5-9",17176734,Sjöbo,1265,Kommunal,Sjöbo,2120001090,52,"13,5","65,4","21,2",.,.,.,.,59,"11,9","78,0","10,2",.,.,.,.,2018
Storkskolan,55675413,Sjöbo,1265,Kommunal,Sjöbo,2120001090,39,.,"74,4","25,6",.,.,.,.,39,.,"89,7","10,3",.,.,.,.,2018
Friskolan Metis,46013569,Skara,1495,Enskild,Lärocentrum i Skara Ekonomisk Förening,7696068381,32,"12,5","46,9","40,6",.,.,.,.,34,"38,2","50,0","11,8",.,.,.,.,2018
Viktoriaskolan 1,14808086,Skara,1495,Kommunal,Skara,2120001702,75,"12,0","50,7","37,3",.,.,.,.,84,"3,6","83,3","13,1",.,.,.,.,2018
Viktoriaskolan 2,15007645,Skara,1495,Kommunal,Skara,2120001702,62,"6,5","59,7","33,9",.,.,.,.,67,"13,4","70,1","16,4",.,.,.,.,2018
Björkskolan,65417636,Skellefteå,2482,Enskild,Skolföreningen Växa,8947021443,24,"12,5","25,0","62,5",.,.,.,.,24,.,"91,7","8,3",.,.,.,.,2018
Björnåkersskolan,15720147,Skellefteå,2482,Kommunal,Skellefteå,2120002643,30,"6,7","56,7","36,7",.,.,.,.,34,.,"85,3","14,7",.,.,.,.,2018
Bolidenskolan 7-9,69217837,Skellefteå,2482,Kommunal,Skellefteå,2120002643,22,"18,2","81,8",.,.,.,.,.,28,"21,4","67,9","10,7",.,.,.,.,2018
Bureskolan 6-9,62125265,Skellefteå,2482,Kommunal,Skellefteå,2120002643,29,"24,1","55,2","20,7",.,.,.,.,35,"25,7","74,3",.,.,.,.,.,2018
Byskeskolan 6-9,97534677,Skellefteå,2482,Kommunal,Skellefteå,2120002643,53,"17,0","50,9","32,1",.,.,.,.,51,"33,3","51,0","15,7",.,.,.,.,2018
Kanalskolan,94485755,Skellefteå,2482,Kommunal,Skellefteå,2120002643,95,"23,2","54,7","22,1",.,.,.,.,94,"31,9","66,0","2,1",.,.,.,.,2018
Kågeskolan 6-9,66412077,Skellefteå,2482,Kommunal,Skellefteå,2120002643,69,"17,4","59,4","23,2",.,.,.,.,69,"10,1","78,3","11,6",.,.,.,.,2018
Lejonströmsskolan 7-9,56208924,Skellefteå,2482,Kommunal,Skellefteå,2120002643,84,"16,7","57,1","26,2",.,.,.,.,86,"27,9","64,0","8,1",.,.,.,.,2018
Lövångersskolan,87194036,Skellefteå,2482,Kommunal,Skellefteå,2120002643,.,.,.,.,.,.,.,.,17,"11,8","82,4","5,9",.,.,.,.,2018
Norrhammarskolan 6-9,40166272,Skellefteå,2482,Kommunal,Skellefteå,2120002643,100,"18,0","50,0","32,0",.,.,.,.,118,"11,0","74,6","14,4",.,.,.,.,2018
Sörböleskolan Öst,83796196,Skellefteå,2482,Kommunal,Skellefteå,2120002643,81,"27,2","66,7","6,2",.,.,.,.,88,"33,0","64,8","2,3",.,.,.,.,2018
Ursviksskolan 6-9,37579892,Skellefteå,2482,Kommunal,Skellefteå,2120002643,44,"2,3","77,3","20,5",.,.,.,.,50,"12,0","84,0","4,0",.,.,.,.,2018
Örjansskolan 6-9,99512173,Skellefteå,2482,Kommunal,Skellefteå,2120002643,48,"16,7","64,6","18,8",.,.,.,.,51,"35,3","60,8","3,9",.,.,.,.,2018
Klockarbergsskolan,62958817,Skinnskatteberg,1904,Kommunal,Skinnskatteberg,2120002023,22,"9,1","50,0","40,9",.,.,.,.,22,"9,1","90,9",.,.,.,.,.,2018
Alléskolan,60217642,Skurup,1264,Kommunal,Skurup,2120001082,.,.,.,.,.,.,.,.,23,"4,3","82,6","13,0",.,.,.,.,2018
Mackleanskolan,21999433,Skurup,1264,Kommunal,Skurup,2120001082,.,.,.,.,.,.,.,.,136,"2,2","72,8","25,0",.,.,.,.,2018
Eriksdalskolan 863,97361837,Skövde,1496,Kommunal,Skövde,2120001710,78,"15,4","69,2","15,4",.,.,.,.,91,"9,9","73,6","16,5",.,.,.,.,2018
Helenaskolan 857,33092776,Skövde,1496,Kommunal,Skövde,2120001710,87,"11,5","63,2","25,3",.,.,.,.,123,"22,8","69,9","7,3",15,"6,7","60,0","33,3",2018
Helenaskolan 858,54790414,Skövde,1496,Kommunal,Skövde,2120001710,37,"24,3","43,2","32,4",.,.,.,.,45,"15,6","80,0","4,4",.,.,.,.,2018
Stöpenskolan,89477299,Skövde,1496,Kommunal,Skövde,2120001710,104,"5,8","61,5","32,7",.,.,.,.,107,"12,1","74,8","13,1",.,.,.,.,2018
Vasaskolan 859,16057411,Skövde,1496,Kommunal,Skövde,2120001710,67,"4,5","74,6","20,9",.,.,.,.,72,"15,3","84,7",.,.,.,.,.,2018
Vasaskolan 869,83894630,Skövde,1496,Kommunal,Skövde,2120001710,95,"13,7","69,5","16,8",.,.,.,.,98,"12,2","69,4","18,4",.,.,.,.,2018
Bergaskolan,81136807,Smedjebacken,2061,Kommunal,Smedjebacken,2120002205,58,"6,9","70,7","22,4",.,.,.,.,64,"15,6","82,8","1,6",.,.,.,.,2018
Kyrkskolan,68814096,Smedjebacken,2061,Kommunal,Smedjebacken,2120002205,19,"10,5","36,8","52,6",.,.,.,.,22,"18,2","54,5","27,3",.,.,.,.,2018
Junsele skola,49748045,Sollefteå,2283,Kommunal,Sollefteå,2120002437,19,.,"73,7","26,3",.,.,.,.,19,"5,3","89,5","5,3",.,.,.,.,2018
Ramsele skola,20197159,Sollefteå,2283,Kommunal,Sollefteå,2120002437,18,.,"61,1","38,9",.,.,.,.,19,"10,5","52,6","36,8",.,.,.,.,2018
Vallaskolan 7-9,70478601,Sollefteå,2283,Kommunal,Sollefteå,2120002437,110,"4,5","55,5","40,0",.,.,.,.,114,"24,6","65,8","9,6",19,"10,5","73,7","15,8",2018
Edsbergsskolan,18595907,Sollentuna,0163,Kommunal,Sollentuna,2120000134,148,"16,2","35,8","48,0",.,.,.,.,.,.,.,.,.,.,.,.,2018
