skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_sv_tcv25,skolverket_andel_sv_tcv25,skolverket_and_uppn_alla_amnen_sv_tcv25,skolverket_and_behorig_sv_tcv25,skolverket_gmv_sv_tcv25,skolverket_antal_f_sv_tcv25,skolverket_andel_f_sv_tcv25,skolverket_and_uppn_alla_amnen_f_sv_tcv25,skolverket_and_behorig_f_sv_tcv25,skolverket_gmv_f_sv_tcv25,skolverket_antal_f_utl_tcv25,skolverket_andel_f_utl_tcv25,skolverket_and_uppn_alla_amnen_f_utl_tcv25,skolverket_and_behorig_f_utl_tcv25,skolverket_gmv_f_utl_tcv25,year
Stockholm,Alviksskolan,Kommunal,Stockholm,72627865,60,"60,6","78,3","86,7","230,7",10,"10,1",..,..,"232,0",29,"29,3",..,"41,4","166,4",2013
Stockholm,Aspuddens skola,Kommunal,Stockholm,72672270,74,"62,2","82,4",~100,"222,2",33,"27,7","72,7",~100,"198,8",12,"10,1",..,..,"200,4",2013
Stockholm,Bagarmossens skola,Kommunal,Stockholm,13679897,..,..,"70,0",~100,"190,1",..,..,..,..,..,21,"42,9","61,9","71,4","188,5",2013
Stockholm,Björkhagens skola,Kommunal,Stockholm,43088454,79,"88,8","89,9",~100,"231,2",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Blommensbergsskolan,Kommunal,Stockholm,82140090,100,"87,0","86,0","94,0","223,5",..,..,..,..,"234,5",..,..,..,..,..,2013
Stockholm,Bredbyskolan,Kommunal,Stockholm,27287797,..,..,.,.,..,15,"65,2",..,~100,"189,2",..,..,.,..,..,2013
Stockholm,Bredängsskolan,Kommunal,Stockholm,14121892,12,"19,4",..,..,"167,5",26,"41,9","65,4",~100,"183,6",24,"38,7","50,0",~100,"192,8",2013
Stockholm,Bäckahagens skola,Kommunal,Stockholm,20683111,21,"46,7","71,4",~100,"224,4",12,"26,7",..,..,"196,5",12,"26,7",..,..,"206,3",2013
Stockholm,Enbacksskolan,Kommunal,Stockholm,43632318,..,..,..,..,..,27,"73,0","55,6",~100,"209,7",..,..,..,..,..,2013
Stockholm,Engelbrektsskolan,Kommunal,Stockholm,87521048,71,"59,2","88,7",~100,"238,1",34,"28,3","73,5",~100,"228,2",15,"12,5",..,~100,"202,8",2013
Stockholm,Enskede skola,Kommunal,Stockholm,72248694,101,"87,1","93,1",~100,"237,2",..,..,"90,9",~100,"230,0",..,..,..,..,..,2013
Stockholm,Eriksdalsskolan,Kommunal,Stockholm,59249600,137,"77,4","79,6","92,0","221,4",15,"8,5",..,~100,"183,8",25,"14,1",..,"60,0","157,3",2013
Stockholm,Farsta grundskola,Kommunal,Stockholm,38758770,38,"54,3","65,8","86,8","222,2",12,"17,1",..,~100,"194,6",20,"28,6",..,"55,0","178,3",2013
Stockholm,Fruängens skola,Kommunal,Stockholm,19353396,43,"78,2","67,4","86,0","203,6",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Grimstaskolan,Kommunal,Stockholm,51341279,17,"33,3","82,4","100,0","220,7",15,"29,4",..,~100,"215,2",19,"37,3",..,"52,6","168,9",2013
Stockholm,Gubbängsskolan,Kommunal,Stockholm,93412255,66,"74,2","66,7","90,9","217,2",13,"14,6",..,"100,0","175,8",10,"11,2",..,..,..,2013
Stockholm,Gärdesskolan,Kommunal,Stockholm,41176931,145,"91,8","82,1","93,1","243,8",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Hagsätraskolan,Kommunal,Stockholm,82110758,22,"39,3","68,2","72,7","192,6",16,"28,6","75,0",~100,"193,3",18,"32,1",..,..,"185,8",2013
Stockholm,Hjulsta skola,Kommunal,Stockholm,69266159,..,..,..,..,..,62,"52,5","25,8","53,2","167,9",..,..,"22,4","28,6","146,7",2013
Stockholm,Husbygårdsskolan F-9,Kommunal,Stockholm,42149666,..,..,..,..,..,24,"46,2","70,8",~100,"189,1",..,..,..,..,"146,5",2013
Stockholm,Hägerstensåsens skola,Kommunal,Stockholm,70329261,..,..,.,.,..,..,..,..,..,..,.,.,.,.,.,2013
Stockholm,Hässelby Villastads skola,Kommunal,Stockholm,86597125,74,"84,1","75,7","93,2","230,7",..,..,"100,0","100,0","252,7",..,..,..,..,..,2013
Stockholm,Hässelbygårdsskolan,Kommunal,Stockholm,87838841,34,"37,4","70,6","85,3","219,7",22,"24,2","90,9",~100,"224,8",35,"38,5","51,4","60,0","178,7",2013
Stockholm,Högalidsskolan,Kommunal,Stockholm,24716970,36,"63,2","94,4",~100,"251,6",..,..,"88,2",~100,"241,5",..,..,..,..,..,2013
Stockholm,Höglandsskolan,Kommunal,Stockholm,36281817,27,"93,1","100,0","100,0","286,9",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Hökarängsskolan,Kommunal,Stockholm,57184925,23,"40,4","47,8","65,2","156,0",12,"21,1",..,~100,"229,1",22,"38,6","54,5","63,6","163,2",2013
Stockholm,Johan Skytteskolan,Kommunal,Stockholm,97683561,102,"85,0","89,2",~100,"235,7",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Katarina Norra skola,Kommunal,Stockholm,23617768,65,"92,9","87,7",~100,"234,7",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Kungl. Svenska Balettskolan gr,Kommunal,Stockholm,63321041,15,"83,3","86,7",~100,"262,5",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Kungsholmens grundskola,Kommunal,Stockholm,29410344,28,"57,1","92,9",~100,"241,8",..,..,"66,7",~100,"221,5",..,..,..,..,..,2013
Stockholm,Lillholmsskolan,Kommunal,Stockholm,46581319,..,..,..,..,..,..,..,"94,4","100,0","254,9",27,"52,9","48,1","63,0","202,2",2013
Stockholm,Mariaskolan,Kommunal,Stockholm,69895255,74,"89,2","83,8",~100,"229,2",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Matteusskolan,Kommunal,Stockholm,16348406,63,"68,5","90,5",~100,"243,3",19,"20,7","63,2",~100,"208,4",10,"10,9",..,..,"226,8",2013
Stockholm,Mälarhöjdens skola,Kommunal,Stockholm,46165232,95,"88,0","95,8",~100,"253,3",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Nya Elementar,Kommunal,Stockholm,83828066,115,"82,7","87,8",~100,"236,0",..,..,..,~100,"173,1",..,..,..,..,..,2013
Stockholm,Nytorpsskolan,Kommunal,Stockholm,23618510,16,"61,5","75,0",~100,"197,2",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Nytorpsskolan/Österholm grund,Kommunal,Stockholm,34047582,..,..,..,..,..,..,..,.,.,..,..,..,.,.,..,2013
Stockholm,Rinkebyskolan,Kommunal,Stockholm,37416253,13,"10,5",..,..,"153,1",66,"53,2","50,0","89,4","204,8",45,"36,3","26,7","42,2","132,6",2013
Stockholm,Rågsvedsskolan,Kommunal,Stockholm,60382920,..,..,..,..,..,..,..,..,..,..,46,"83,6",..,"21,7","152,4",2013
Stockholm,Rålambshovsskolan,Kommunal,Stockholm,61686233,129,"86,0","88,4","95,3","246,2",..,..,..,~100,"217,1",..,..,..,..,..,2013
Stockholm,Rödabergsskolan,Kommunal,Stockholm,97686250,47,"63,5","95,7",~100,"256,1",11,"14,9","90,9",~100,"240,5",16,"21,6",..,"68,8","246,4",2013
Stockholm,Sjöstadsskolan,Kommunal,Stockholm,15331669,37,"90,2","81,1","86,5","217,7",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Sjöängsskolan,Kommunal,Stockholm,13124830,63,"78,8","81,0",~100,"214,5",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Skarpnäcks skola,Kommunal,Stockholm,53075005,55,"84,6","89,1","90,9","238,6",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Slättgårdsskolan,Kommunal,Stockholm,59468219,..,..,..,..,"186,0",22,"56,4","72,7",~100,"230,7",..,..,..,..,..,2013
Stockholm,Smedshagsskolan,Kommunal,Stockholm,50060022,..,..,..,..,..,..,..,..,..,..,13,"61,9",..,~100,"186,2",2013
Stockholm,Sofia skola,Kommunal,Stockholm,45436515,96,"86,5","84,4","92,7","232,4",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Solbergaskolan,Kommunal,Stockholm,34671128,12,"57,1",..,..,"183,5",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Spånga grundskola,Kommunal,Stockholm,17640364,90,"75,6","92,2",~100,"249,4",..,..,"81,5",~100,"238,8",..,..,..,..,..,2013
Stockholm,Sturebyskolan,Kommunal,Stockholm,91816093,98,"82,4","96,9","100,0","245,1",..,..,"91,7",~100,"220,6",..,..,..,..,..,2013
Stockholm,Sundbyskolan,Kommunal,Stockholm,44046131,49,"63,6","89,8",~100,"245,6",..,..,"81,8",~100,"214,3",..,..,..,..,..,2013
Stockholm,Sätraskolan,Kommunal,Stockholm,21724208,..,..,..,..,..,14,"40,0",..,~100,"195,4",..,..,..,..,"180,0",2013
Stockholm,Söderholmsskolan,Kommunal,Stockholm,18064456,..,..,..,..,..,17,"48,6","58,8",~100,"214,9",..,..,..,~100,"239,8",2013
Stockholm,Södermalmsskolan,Kommunal,Stockholm,75614609,66,"76,7","89,4",~100,"238,6",..,..,"83,3",~100,"232,5",..,..,..,..,..,2013
Stockholm,Södra Ängby skola F-9,Kommunal,Stockholm,88795871,60,"71,4","88,3","100,0","245,7",10,"11,9",..,..,"216,3",14,"16,7","78,6",~100,"210,2",2013
Stockholm,Trollbodaskolan,Kommunal,Stockholm,89605548,76,"89,4","80,3","92,1","214,8",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Tätorpsskolan,Kommunal,Stockholm,95801750,31,"60,8","58,1","61,3","194,4",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Vasa Real,Kommunal,Stockholm,52863414,119,"86,2","82,4",~100,"247,8",..,..,..,~100,"242,3",..,..,..,..,..,2013
Stockholm,Vinstagårdsskolan,Kommunal,Stockholm,82850292,48,"59,3","64,6",~100,"231,3",..,..,"50,0",~100,"200,7",..,..,..,..,..,2013
Stockholm,Vällingbyskolan,Kommunal,Stockholm,36031993,45,"62,5","77,8",~100,"220,4",15,"20,8",..,~100,"203,5",12,"16,7",..,..,"203,5",2013
Stockholm,Årstaskolan,Kommunal,Stockholm,48328583,25,"61,0","84,0",~100,"218,8",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Åsö grundskola,Kommunal,Stockholm,94864296,124,"76,5","79,8","96,0","238,5",20,"12,3","55,0",~100,"206,5",18,"11,1","72,2",~100,"218,3",2013
Stockholm,Äppelviksskolan,Kommunal,Stockholm,15594566,155,"95,1","96,8",~100,"259,9",..,..,..,..,..,..,..,..,..,..,2013
Stockholm,Ärvingeskolan,Kommunal,Stockholm,11218326,12,"14,6",..,"100,0","211,9",55,"67,1","76,4",~100,"213,3",15,"18,3",..,..,"177,7",2013
Storfors,Vargbroskolan,Kommunal,Storfors,24306424,44,"75,9","81,8",~100,"199,5",..,..,..,..,..,..,..,..,..,"174,6",2013
Storuman,Röbroskolan,Kommunal,Storuman,87510386,62,"98,4","85,5",~100,"214,6",..,..,.,.,.,..,..,.,.,..,2013
Storuman,Skytteanska skolan,Kommunal,Storuman,52561988,15,"88,2","100,0","100,0","207,7",..,..,.,.,.,..,..,..,..,..,2013
Strängnäs,Lagmansskolan resurssk autisti,Kommunal,Strängnäs,28218473,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Strängnäs,Mariefreds skola 4-9,Kommunal,Strängnäs,91506877,50,"92,6","72,0",~100,"213,6",..,..,..,..,..,..,..,..,..,..,2013
Strängnäs,Paulinska skolan,Kommunal,Strängnäs,21086074,50,"64,9","68,0","78,0","220,3",..,..,..,..,..,..,..,"52,6","68,4","157,9",2013
Strängnäs,Stallarholmsskolan,Kommunal,Strängnäs,42957784,33,"84,6","75,8",~100,"202,3",..,..,..,..,..,..,..,..,..,..,2013
Strängnäs,Åkerskolan,Kommunal,Strängnäs,74265915,32,"88,9","75,0",~100,"202,1",..,..,..,..,..,..,..,..,..,..,2013
Strömstad,Strömstiernaskolan,Kommunal,Strömstad,47464666,88,"77,9","80,7","86,4","210,8",..,..,..,..,..,..,..,"55,6","61,1","182,4",2013
Strömsund,Centralskolan Hoting,Kommunal,Strömsund,20930818,16,"84,2","93,8","100,0","218,1",..,..,.,.,.,..,..,..,..,..,2013
Strömsund,Fjällsjöskolan,Kommunal,Strömsund,82584417,11,"91,7","100,0","100,0","230,0",..,..,.,.,.,..,..,..,..,..,2013
Strömsund,Frostviksskolan,Kommunal,Strömsund,76970830,11,"91,7","90,9","100,0","209,8",..,..,.,.,.,..,..,.,..,..,2013
Strömsund,Grevåkerskolan Hammerdal,Kommunal,Strömsund,54719506,35,"85,4","85,7",~100,"225,5",..,..,.,.,.,..,..,..,..,..,2013
Strömsund,Vattudalsskolan,Kommunal,Strömsund,71396086,50,"82,0","88,0",~100,"208,3",.,.,.,.,.,11,"18,0",..,..,"177,5",2013
Sundbyberg,Rissneskolan,Kommunal,Sundbyberg,76870977,23,"31,9","52,2","65,2","164,5",26,"36,1","42,3","76,9","181,0",23,"31,9",..,"52,2","123,4",2013
Sundbyberg,Ängskolan,Kommunal,Sundbyberg,22847273,83,"74,1","80,7","89,2","225,5",15,"13,4","86,7","100,0","228,3",14,"12,5",..,..,"153,6",2013
Sundsvall,Bergsåkers skola 2,Kommunal,Sundsvall,68493050,79,"89,8","87,3",~100,"221,6",..,..,..,..,..,..,..,..,..,..,2013
Sundsvall,Hagaskolan 2,Kommunal,Sundsvall,92913189,97,"76,4","61,9","74,2","179,7",..,..,..,..,..,..,..,..,"41,7","140,7",2013
Sundsvall,Höglundaskolan 2,Kommunal,Sundsvall,52845715,88,"77,9","63,6","86,4","202,1",..,..,..,..,..,..,..,..,..,"136,3",2013
Sundsvall,Lidens skola,Kommunal,Sundsvall,64029211,10,"90,9",..,..,"197,0",..,..,.,.,.,..,..,.,.,..,2013
Sundsvall,Ljustadalens skola 1,Kommunal,Sundsvall,20027707,..,..,.,.,.,.,.,.,.,.,..,..,.,.,..,2013
Sundsvall,Matfors skola 2,Kommunal,Sundsvall,86927239,68,"100,0","66,2",~100,"206,5",.,.,.,.,.,.,.,.,.,.,2013
Sundsvall,Nivrenaskolan 1,Kommunal,Sundsvall,55740795,90,"83,3","78,9","81,1","195,4",..,..,..,..,..,..,..,..,..,"150,3",2013
Sundsvall,Stöde skola,Kommunal,Sundsvall,11181258,22,"100,0","81,8",~100,"199,9",.,.,.,.,.,.,.,.,.,.,2013
Sundsvall,Sundsvalls Montessoriskola,Kommunal,Sundsvall,78495763,20,"100,0","70,0",~100,"212,5",.,.,.,.,.,.,.,.,.,.,2013
Sundsvall,Vibackeskolan 2,Kommunal,Sundsvall,64221308,67,"90,5","74,6","80,6","192,5",..,..,.,.,.,..,..,..,..,..,2013
Sunne,Fryxellska skolan,Kommunal,Sunne,25636648,140,"93,3","75,0","90,0","207,3",..,..,..,..,..,..,..,..,..,..,2013
Surahammar,Hammarskolan,Kommunal,Surahammar,74582871,56,"81,2","76,8","87,5","196,5",..,..,..,..,..,..,..,..,..,..,2013
Surahammar,Virsboskolan,Kommunal,Surahammar,36302522,18,"81,8",..,"72,2","168,7",..,..,..,..,..,..,..,.,.,.,2013
Svalöv,Linåkerskolan,Kommunal,Svalöv,44263951,91,"83,5","62,6","79,1","188,0",..,..,..,..,..,..,..,..,..,"194,5",2013
Svedala,Klågerupsskolan,Kommunal,Svedala,99748375,34,"89,5","88,2",~100,"218,7",..,..,..,..,..,..,..,..,..,..,2013
Svedala,Marbäcksskolan,Kommunal,Svedala,43569718,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Svedala,Naverlönnskolan,Kommunal,Svedala,65569784,119,"92,2","84,0","95,0","220,6",..,..,..,..,..,..,..,..,..,..,2013
Svedala,Spångholmsskolan,Kommunal,Svedala,83516023,52,"88,1","86,5",~100,"223,1",..,..,..,..,..,..,..,..,..,..,2013
Svenljunga,"Mogaskolan, 7-9",Kommunal,Svenljunga,35242545,104,"87,4","71,2","91,3","202,1",..,..,..,..,..,..,..,..,~100,"170,8",2013
Säffle,Tegnérskolan,Kommunal,Säffle,40517936,86,"88,7","59,3","77,9","195,1",..,..,..,..,..,..,..,..,..,..,2013
Säter,Klockarskolan,Kommunal,Säter,60111640,78,"91,8","79,5","88,5","206,7",..,..,.,..,..,..,..,..,..,..,2013
Sävsjö,Hofgårdsskolan,Kommunal,Sävsjö,59983229,81,"75,0","77,8","92,6","212,3",13,"12,0",..,~100,"189,2",14,"13,0",..,..,"162,1",2013
Sävsjö,Rörviks skola,Kommunal,Sävsjö,74170440,25,"92,6","84,0",~100,"235,3",..,..,.,.,.,..,..,..,..,..,2013
Söderhamn,Bergvikskolan,Kommunal,Söderhamn,32721673,50,"87,7","64,0","74,0","185,7",..,..,..,..,..,..,..,..,..,..,2013
Söderhamn,Norrtullskolan C,Kommunal,Söderhamn,35139330,78,"82,1","75,6","83,3","202,9",..,..,.,.,..,..,..,..,..,"174,5",2013
Söderhamn,Stenbergaskolan,Kommunal,Söderhamn,26147333,44,"95,7","88,6",~100,"220,4",..,..,..,..,..,..,..,.,.,..,2013
Söderhamn,Vågbroskolan,Kommunal,Söderhamn,95878068,41,"93,2","80,5","85,4","204,3",..,..,.,.,.,..,..,..,..,..,2013
Söderköping,Ramunderskolan 12,Kommunal,Söderköping,99361107,114,"93,4","78,1","92,1","217,9",..,..,..,..,..,..,..,..,..,..,2013
Södertälje,Blombackaskolan,Kommunal,Södertälje,34148887,62,"41,9","72,6","87,1","208,0",46,"31,1","65,2","82,6","191,6",40,"27,0","40,0","55,0","159,4",2013
Södertälje,Brunnsängskolan,Kommunal,Södertälje,60570294,42,"59,2","83,3",~100,"224,4",..,..,"81,8",~100,"226,6",..,..,..,..,..,2013
Södertälje,Hovsjöskolan,Kommunal,Södertälje,82137009,..,..,..,..,..,..,..,"47,6","71,4","189,4",32,"55,2","37,5","40,6","189,9",2013
Södertälje,Hölöskolan,Kommunal,Södertälje,79466321,30,"93,8","86,7",~100,"210,8",..,..,..,..,..,..,..,.,.,.,2013
Södertälje,Järna grundskola,Kommunal,Södertälje,97655739,67,"93,1","88,1",~100,"226,2",..,..,..,..,..,..,..,..,..,..,2013
Södertälje,Lina grundskola,Kommunal,Södertälje,62288230,..,..,..,..,..,..,..,..,..,..,14,"50,0",..,..,"180,0",2013
Södertälje,Pershagenskolan,Kommunal,Södertälje,38653015,41,"78,8","73,2",~100,"196,7",..,..,..,..,..,..,..,..,..,..,2013
Södertälje,Ronnaskolan,Kommunal,Södertälje,51210001,29,"36,3","79,3",~100,"225,4",19,"23,8",..,~100,"197,8",32,"40,0",..,"53,1","168,5",2013
Södertälje,Rosenborgskolan,Kommunal,Södertälje,11914814,70,"61,4","68,6","88,6","205,5",18,"15,8","61,1",~100,"199,7",26,"22,8","42,3","57,7","160,7",2013
Södertälje,Wasaskolan,Kommunal,Södertälje,56568612,..,..,..,..,..,..,..,"70,0","73,3","210,9",32,"45,1",..,"34,4","153,8",2013
Sölvesborg,Bokelundsskolan H,Kommunal,Sölvesborg,94309839,89,"80,2","82,0","92,1","215,9",11,"9,9",..,"100,0","232,0",11,"9,9",..,..,"184,0",2013
Sölvesborg,Mjällby skola H,Kommunal,Sölvesborg,24822447,52,"92,9","80,8","84,6","208,2",..,..,..,..,..,..,..,..,..,..,2013
Tanum,Hamburgsundskolan,Kommunal,Tanum,81072495,36,"85,7","69,4","100,0","201,7",..,..,.,.,.,..,..,..,..,..,2013
Tanum,Tanumskolan,Kommunal,Tanum,74079446,62,"82,7","88,7",~100,"215,6",..,..,..,..,..,..,..,..,..,..,2013
Tibro,Nyboskolan arbetslag A,Kommunal,Tibro,24564454,101,"88,6","78,2","89,1","207,3",..,..,..,..,..,..,..,..,..,..,2013
Tidaholm,Forsenskolan 7-9,Kommunal,Tidaholm,40717964,40,"87,0","67,5","75,0","197,6",..,..,..,..,..,..,..,..,..,..,2013
Tidaholm,Hökensåsskolan 7-9,Kommunal,Tidaholm,42899954,73,"93,6","72,6","82,2","195,8",..,..,..,..,..,..,..,..,..,..,2013
Tierp,Aspenskolan,Kommunal,Tierp,15416514,73,"85,9","67,1","93,2","201,0",..,..,..,..,..,..,..,..,..,..,2013
Tierp,Centralskolan,Kommunal,Tierp,17240817,48,"90,6","68,8","81,3","196,0",..,..,..,..,..,..,..,..,..,..,2013
Tierp,Ol Andersskolan,Kommunal,Tierp,65153737,39,"97,5","82,1",~100,"205,6",..,..,.,.,.,..,..,.,.,..,2013
Tierp,Örbyhus skola,Kommunal,Tierp,69241995,56,"91,8","73,2","82,1","198,9",..,..,..,..,..,..,..,..,..,..,2013
Timrå,Ala skola,Kommunal,Timrå,59092675,36,"97,3","72,2",~100,"199,5",..,..,.,.,.,..,..,..,..,..,2013
Timrå,Arenaskolan,Kommunal,Timrå,81784662,67,"87,0","73,1","86,6","201,8",..,..,..,..,..,..,..,..,..,..,2013
Timrå,Mariedalsskolan,Kommunal,Timrå,23957720,66,"94,3","78,8","87,9","199,6",..,..,..,..,..,..,..,..,..,..,2013
Tingsryd,Dackeskolan 5-9,Kommunal,Tingsryd,56361478,67,"75,3","74,6","82,1","203,2",..,..,..,..,..,..,..,..,..,"166,5",2013
Tjörn,Bleketskolan,Kommunal,Tjörn,16656370,57,"95,0","89,5","100,0","230,7",..,..,.,.,.,..,..,..,..,..,2013
Tjörn,Häggvallskolan,Kommunal,Tjörn,23228302,76,"95,0","88,2",~100,"231,7",..,..,.,.,..,..,..,..,..,..,2013
Tomelilla,Kastanjeskolan,Kommunal,Tomelilla,90360196,120,"92,3","80,0","87,5","207,6",..,..,..,..,..,..,..,..,..,..,2013
Torsby,Frykenskolan,Kommunal,Torsby,21568934,100,"93,5","76,0","84,0","204,1",..,..,..,..,..,..,..,..,..,..,2013
Torsby,Kvistbergsskolan,Kommunal,Torsby,83025413,23,"85,2","78,3",~100,"197,1",..,..,.,.,..,..,..,..,..,..,2013
Torsås,Torskolan H,Kommunal,Torsås,99636909,62,"89,9","90,3","90,3","209,9",..,..,.,.,.,..,..,..,..,..,2013
Tranemo,Tranängskolan 7-9,Kommunal,Tranemo,33759766,113,"83,1","81,4","90,3","220,9",12,"8,8",..,..,"180,4",11,"8,1",..,..,"187,3",2013
Tranås,Junkaremålsskolan 7-9,Kommunal,Tranås,18476537,96,"83,5","89,6","93,8","217,5",..,..,..,..,..,..,..,..,..,"182,8",2013
Tranås,Ängarydsskolan,Kommunal,Tranås,10155751,73,"86,9","74,0","86,3","194,1",..,..,..,..,..,..,..,..,..,..,2013
Trelleborg,Fågelbäckskolan,Kommunal,Trelleborg,94965726,40,"76,9","65,0","75,0","196,9",..,..,..,..,..,..,..,..,..,..,2013
Trelleborg,Liljeborgsskolan 7-9,Kommunal,Trelleborg,42096980,120,"69,4","78,3","90,8","217,8",36,"20,8","80,6",~100,"217,6",17,"9,8",..,..,"180,0",2013
Trelleborg,Vannhögskolan,Kommunal,Trelleborg,92281801,84,"96,6","86,9","92,9","215,1",..,..,..,..,..,..,..,..,..,..,2013
Trelleborg,Väståkraskolan,Kommunal,Trelleborg,45448758,69,"90,8","82,6","88,4","219,0",..,..,..,..,..,..,..,..,..,..,2013
Trollhättan,Hjortmosseskolan 6-9,Kommunal,Trollhättan,66644468,36,"75,0","72,2","86,1","222,6",..,..,..,..,..,..,..,..,..,..,2013
Trollhättan,Kronan 7-9,Kommunal,Trollhättan,63750711,11,"11,8",..,..,"110,5",23,"24,7",..,"60,9","193,0",59,"63,4",..,..,"122,2",2013
Trollhättan,Lyrfågelskolan 4-9,Kommunal,Trollhättan,12667629,63,"87,5","82,5","88,9","211,1",..,..,..,..,..,..,..,..,..,..,2013
Trollhättan,Paradisskolan 7-9,Kommunal,Trollhättan,38786603,53,"84,1","96,2",~100,"244,6",..,..,..,..,..,..,..,..,..,..,2013
Trollhättan,Sjuntorp skolan 4-9,Kommunal,Trollhättan,39396701,45,"93,8","93,3",~100,"232,1",..,..,..,..,..,..,..,.,.,.,2013
Trollhättan,Skogshöjdens skola,Kommunal,Trollhättan,77954455,27,"84,4","92,6","100,0","246,3",..,..,..,..,..,..,..,.,.,.,2013
Trollhättan,Stavreskolan 4-9,Kommunal,Trollhättan,49525819,55,"96,5","81,8",~100,"221,4",..,..,..,..,..,..,..,..,..,..,2013
Trollhättan,Strömslundsskolan 7-9,Kommunal,Trollhättan,96091081,48,"98,0","81,3",~100,"209,3",..,..,..,..,..,..,..,.,.,.,2013
Trollhättan,Sylteskolan 7-9,Kommunal,Trollhättan,66414430,39,"53,4","79,5",~100,"221,8",18,"24,7",..,"66,7","191,9",16,"21,9",..,..,"141,6",2013
Trosa,Hedebyskolan,Kommunal,Trosa,45500152,38,"92,7","86,8",~100,"210,0",..,..,..,..,..,..,..,.,.,..,2013
Trosa,Tomtaklintskolan,Kommunal,Trosa,51044218,94,"96,9","83,0","92,6","221,6",..,..,..,..,..,..,..,..,..,..,2013
Tyresö,Dalskolan,Kommunal,Tyresö,56130729,75,"89,3","84,0","89,3","216,6",..,..,..,..,..,..,..,..,..,..,2013
Tyresö,Kumla skola,Kommunal,Tyresö,37147254,120,"90,9","89,2",~100,"235,5",..,..,..,..,..,..,..,..,..,..,2013
Tyresö,Nyboda skola,Kommunal,Tyresö,31281674,84,"63,6","69,0","81,0","196,2",22,"16,7","54,5","68,2","191,6",26,"19,7",..,"42,3","148,3",2013
Tyresö,Strandskolan,Kommunal,Tyresö,87665835,58,"98,3","79,3","91,4","212,0",..,..,..,..,..,..,..,.,.,.,2013
Tyresö,Tyresö skola,Kommunal,Tyresö,83020784,65,"95,6","83,1","90,8","214,2",..,..,..,..,..,..,..,.,.,.,2013
Täby,Attundaskolan,Kommunal,Täby,85045274,..,..,.,..,..,.,.,.,.,.,..,..,.,.,..,2013
Täby,Gribby Gård,Kommunal,Täby,20587249,36,"80,0","91,7","100,0","227,7",..,..,..,..,..,..,..,..,..,..,2013
Täby,Näsbydalskolan,Kommunal,Täby,22807677,92,"82,9","96,7",~100,"262,5",..,..,..,..,..,..,..,..,~100,"207,0",2013
Täby,Näsbyparksskolan,Kommunal,Täby,96330648,42,"85,7","92,9",~100,"244,8",..,..,..,..,..,..,..,..,..,..,2013
Täby,Skarpängsskolan,Kommunal,Täby,83454509,133,"91,1","97,0",~100,"233,1",..,..,..,..,..,..,..,..,..,..,2013
Täby,Skolhagenskolan,Kommunal,Täby,69088221,80,"93,0","100,0","100,0","242,6",..,..,..,..,..,..,..,..,..,..,2013
Täby,Vallatorpsskolan,Kommunal,Täby,57206066,24,"88,9","83,3",~100,"232,8",..,..,.,.,.,..,..,..,..,..,2013
Töreboda,Töreboda Centralskola,Kommunal,Töreboda,94707451,89,"93,7","69,7","82,0","190,1",..,..,..,..,..,..,..,..,..,..,2013
Uddevalla,Norgårdenskolan 7-9,Kommunal,Uddevalla,10405686,116,"94,3","81,0","92,2","202,1",..,..,..,..,..,..,..,..,..,..,2013
Uddevalla,Ramnerödsskolan,Kommunal,Uddevalla,83416307,31,"42,5","74,2",~100,"227,2",22,"30,1","63,6",~100,"198,2",20,"27,4",..,"50,0","150,9",2013
Uddevalla,Västerskolan,Kommunal,Uddevalla,62222568,128,"87,7","93,0",~100,"235,0",..,..,..,..,..,..,..,..,..,"220,3",2013
Uddevalla,Äsperödsskolan 7-9,Kommunal,Uddevalla,45535775,72,"80,0","73,6","86,1","206,2",..,..,"100,0","100,0","214,0",..,..,..,..,..,2013
Uddevalla,Östanvindsskolan,Kommunal,Uddevalla,75650987,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
