skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,skolverket_andel_natt_malen_alla_exklok_tcv139,skolverket_and_beh_yrk_exklok_tcv139,skolverket_gnm_meritvarde_exklok_tcv139,year
Mölndal,Hallenskolan,Kommunal,Mölndal,32309720,22,"100,0","100,0","269,0","100,0","100,0","269,0",2016
Mölndal,Katrinebergsskolan,Kommunal,Mölndal,13050305,35,"54,3","80,0","195,4","55,9","82,4","200,3",2016
Mölndal,Kvarnbyskolan,Kommunal,Mölndal,67822057,144,"88,9","91,7","249,3","90,1","93,0","249,3",2016
Mölndal,Sinntorpsskolan 4-9,Kommunal,Mölndal,90949251,52,"86,5","88,5","228,6","86,5","88,5","228,6",2016
Mölndal,Skånhällaskolan 4-9,Kommunal,Mölndal,91907164,64,"82,8","85,9","229,7","82,8","85,9","229,7",2016
Mölndal,Streteredsskolan,Kommunal,Mölndal,54881559,72,"75,0","83,3","213,6","75,0","83,3","213,6",2016
Mölndal,Sörgårdsskolan,Kommunal,Mölndal,53442807,74,"86,5","91,9","257,9","86,5","91,9","257,9",2016
Mönsterås,Krungårdsskolan 7-9,Kommunal,Mönsterås,40299433,56,"66,1","80,4","185,5","67,3","81,8","188,3",2016
Mönsterås,Parkskolan,Kommunal,Mönsterås,84285512,75,"69,3","78,7","199,6","69,3","78,7","199,6",2016
Mörbylånga,Ölands Friskola,Enskild,Friskolan Öland AB,28562125,52,"94,2","100,0","232,5","94,2","100,0","232,5",2016
Mörbylånga,Skansenskolan 4-9,Kommunal,Mörbylånga,39083762,121,"67,8","76,0","203,1","82,0","92,0","210,3",2016
Nacka,Idunskolan Östra Stockholms Waldorfskola,Enskild,Idunstiftelsen För Waldorfpedagogik,44373961,..,..,..,..,..,..,..,2016
Nacka,Engelska Skolan i Nacka,Enskild,Internationella Engelska Skolan i Sverige AB,74358019,146,"95,9",~100,"286,6","95,9",~100,"286,6",2016
Nacka,Kunskapsskolan Nacka,Enskild,Kunskapsskolan i Sverige Aktiebolag,87425546,104,"98,1","100,0","277,2","98,1","100,0","277,2",2016
Nacka,Kunskapsskolan Saltsjöbaden,Enskild,Kunskapsskolan i Sverige Aktiebolag,11496096,40,"92,5",~100,"275,9","92,5",~100,"275,9",2016
Nacka,Maestroskolan Nacka,Enskild,Maestro Svindersvik Aktiebolag,64065898,13,"100,0","100,0","268,3","100,0","100,0","268,3",2016
Nacka,Björknässkolan,Kommunal,Nacka,75834458,128,"77,3","93,0","241,6","77,0","92,9","240,9",2016
Nacka,Eklidens skola,Kommunal,Nacka,47243834,220,"95,9",~100,"275,6","96,3",~100,"275,6",2016
Nacka,Myrsjöskolan,Kommunal,Nacka,84884375,225,"96,9",~100,"273,4","97,3","100,0","274,2",2016
Nacka,Saltsjöbadens samskola,Kommunal,Nacka,11777750,93,"81,7","87,1","249,7","84,4","88,9","256,6",2016
Nacka,Skuru skola,Kommunal,Nacka,85321366,107,"89,7","94,4","258,4","89,7","94,4","258,4",2016
Nacka,Stavsborgsskolan,Kommunal,Nacka,14040970,77,"92,2",~100,"260,0","93,2",~100,"262,1",2016
Nacka,Snitz Grundskola Nacka,Enskild,PPS Power Planning System Aktiebolag,82438535,11,..,..,"159,3",..,..,"159,3",2016
Nacka,Johannes Petri skola,Enskild,Pysslingen Förskolor och Skolor AB,32965692,42,"83,3","85,7","225,2","94,4",~100,"255,1",2016
Nacka,Montessoriskolan Castello,Enskild,Pysslingen Förskolor och Skolor AB,34135484,25,"92,0",~100,"255,9","95,8",~100,"265,1",2016
Nacka,Vittra Saltsjö-Boo,Enskild,Vittraskolorna AB,44802890,15,..,"66,7","172,8",..,~100,"179,3",2016
Nora,Karlsängsskolan,Kommunal,Nora,40684137,114,"82,5","91,2","219,0","82,5","91,2","219,0",2016
Norberg,Centralskolan,Kommunal,Norberg,22347371,71,"57,7","73,2","194,6","60,6","77,3","202,8",2016
Nordanstig,Bergsjö Centralskola år 7-9,Kommunal,Nordanstig,95045408,87,"52,9","72,4","170,1","55,4","75,9","176,3",2016
Nordanstig,Hosiannaskolan,Enskild,Stiftelsen Nordanstigs Kristna Center,21342606,..,..,..,..,..,..,..,2016
Nordmaling,Artediskolan åk 6-9,Kommunal,Nordmaling,58185455,74,"71,6",~100,"219,6","72,6",~100,"220,3",2016
Norrköping,Jönsbergska Idrottsskolan,Enskild,Jönsbergska Idrottsskolan Norrköping AB,61454000,52,"100,0","100,0","252,7","100,0","100,0","252,7",2016
Norrköping,Kunskapsskolan Norrköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,77437748,124,"89,5",~100,"261,5","89,5",~100,"261,5",2016
Norrköping,Erlaskolan Norrköping Södra,Enskild,Lärande i Sverige AB,72526185,36,"80,6","83,3","214,7","80,6","83,3","214,7",2016
Norrköping,Erlaskolan Norrköping Östra,Enskild,Lärande i Sverige AB,90838156,51,"82,4",~100,"238,6","82,4",~100,"238,6",2016
Norrköping,Borgsmoskolan,Kommunal,Norrköping,26387738,78,"26,9","51,3","146,1","29,2","55,6","153,4",2016
Norrköping,Djäkneparksskolan 1,Kommunal,Norrköping,59526276,194,"63,9","72,7","198,6","68,5","77,9","209,1",2016
Norrköping,Ektorpsskolan 1,Kommunal,Norrköping,12079022,17,..,..,"61,7",..,..,..,2016
Norrköping,Ektorpsskolan 2,Kommunal,Norrköping,37133485,120,"71,7","82,5","207,5","71,7","82,5","207,5",2016
Norrköping,Enebyskolan 1,Kommunal,Norrköping,24625357,51,"76,5","86,3","221,2","76,5","86,3","221,2",2016
Norrköping,Enebyskolan 2,Kommunal,Norrköping,35609364,80,"68,8","86,3","225,6","71,4","89,6","230,9",2016
Norrköping,Hagaskolan 1,Kommunal,Norrköping,17315625,114,"59,6","80,7","211,0","59,6","80,7","211,0",2016
Norrköping,Hultdalskolan,Kommunal,Norrköping,40393888,97,"84,5","92,8","226,7","85,4","93,8","228,8",2016
Norrköping,Mosstorpsskolan,Kommunal,Norrköping,41484780,90,"92,2",~100,"241,3","92,2",~100,"241,3",2016
Norrköping,Navestadsskolan 1,Kommunal,Norrköping,81182971,112,"64,3","70,5","198,3","64,3","70,5","198,3",2016
Norrköping,Råsslaskolan 1,Kommunal,Norrköping,80621158,65,"80,0","80,0","201,4","80,0","80,0","201,4",2016
Norrköping,Söderporten 1,Kommunal,Norrköping,24979620,53,"26,4","39,6","149,3","28,6","42,9","158,2",2016
Norrköping,Vikbolandsskolan 1,Kommunal,Norrköping,86323840,51,"70,6","84,3","223,4","70,6","84,3","223,4",2016
Norrköping,"Prolympia, Norrköping",Enskild,Prolympia AB,16013826,107,"83,2","86,9","211,8","83,2","86,9","211,8",2016
Norrköping,"Rudolf Steinerskolan, gr",Enskild,Rudolf Steinerskolan,33530590,18,"88,9",~100,"240,4","88,9",~100,"240,4",2016
Norrköping,Johannesskolan Norrkpg Kr Sk,Enskild,Stiftelsen Församlingen Agape,57529996,10,..,..,"216,0",..,..,"216,0",2016
Norrköping,Stegehus Waldorfskola,Enskild,Stiftelsen Steget,73656861,..,.,.,..,.,.,..,2016
Norrköping,Vittra Röda stan,Enskild,Vittraskolorna AB,38936292,25,"92,0",~100,"237,1","92,0",~100,"237,1",2016
Norrtälje,"Ekebyholmsskolan, gr",Enskild,Ekebyholmsskolan Aktiebolag,98239828,23,"91,3",~100,"253,0","91,3",~100,"253,0",2016
Norrtälje,Freinetskolan Hugin,Enskild,Freinetskolan Hugin Ekonomisk förening,89692072,22,"90,9",~100,"267,0","90,9",~100,"267,0",2016
Norrtälje,Freinetskolan Mimer,Enskild,Freinetskolan Mimer ekonomisk förening,45133950,21,"90,5",~100,"238,9","90,5",~100,"238,9",2016
Norrtälje,Montessoriskolan - Gustafslund,Enskild,Montessori i Norrtälje AB,26281697,10,..,..,"257,3",..,..,"257,3",2016
Norrtälje,Bålbro skola,Kommunal,Norrtälje,45874608,43,"76,7",~100,"233,5","76,7",~100,"233,5",2016
Norrtälje,Grindskolan,Kommunal,Norrtälje,29416145,27,"70,4",~100,"227,1","70,4",~100,"227,1",2016
Norrtälje,Hallsta skola,Kommunal,Norrtälje,24146389,66,"62,1","78,8","201,2","69,0","87,9","215,2",2016
Norrtälje,Lommarskolan,Kommunal,Norrtälje,15312030,22,..,"63,6","175,9",..,"63,6","175,9",2016
Norrtälje,Långsjöskolan,Kommunal,Norrtälje,99749462,34,"70,6","79,4","218,3","70,6","79,4","218,3",2016
Norrtälje,Länna skola,Kommunal,Norrtälje,72471883,26,"69,2","80,8","199,4","69,2","80,8","199,4",2016
Norrtälje,Norrsundsskolan,Kommunal,Norrtälje,39351914,23,"78,3",~100,"211,5","81,8",~100,"217,7",2016
Norrtälje,Roslagsskolan,Kommunal,Norrtälje,31851256,181,"82,3","92,3","235,7","82,3","92,3","235,7",2016
Norrtälje,Rådmansö skola,Kommunal,Norrtälje,50905672,12,..,~100,"209,2",..,~100,"209,2",2016
Norrtälje,Svanbergaskolan,Kommunal,Norrtälje,59975651,47,"68,1","87,2","211,5","68,1","87,2","211,5",2016
Norrtälje,Viby friskola,Enskild,Ogenholts Friskola AB,54806839,16,"93,8","100,0","243,9","93,8","100,0","243,9",2016
Norsjö,Norsjöskolan F-9,Kommunal,Norsjö,10421130,45,"82,2",~100,"228,5","82,2",~100,"228,5",2016
Nybro,Alsterbro skola,Kommunal,Nybro,62698200,16,"81,3",~100,"245,0","81,3",~100,"245,0",2016
Nybro,Madesjöskolan Ma02,Kommunal,Nybro,38198417,111,"70,3","80,2","219,6","76,5","87,3","229,3",2016
Nybro,Paradisskolan Pa02,Kommunal,Nybro,79650118,107,"72,0","80,4","217,4","74,0","82,7","221,5",2016
Nykvarn,Lillhagaskolan,Kommunal,Nykvarn,99640618,135,"95,6",~100,"242,4","95,6",~100,"242,4",2016
Nyköping,Båktorp skolan,Enskild,Båktorp AB,17393295,..,.,..,..,.,..,..,2016
Nyköping,Studiero,Enskild,HVB Lappetorp AB,98693413,..,.,..,..,.,..,..,2016
Nyköping,Kunskapsskolan Nyköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,88046003,88,"94,3",~100,"254,3","94,3",~100,"254,3",2016
Nyköping,Fokusskolan,Enskild,Nyfo AB,18915192,17,"88,2","100,0","248,8","88,2","100,0","248,8",2016
Nyköping,Nyköpings högstadium,Kommunal,Nyköping,99757444,494,"61,1","71,7","193,0","69,7","81,7","210,7",2016
Nyköping,Nyköpings Friskola,Enskild,Pysslingen Förskolor och Skolor AB,20254025,37,"81,1",~100,"225,1","81,1",~100,"225,1",2016
Nyköping,Mikaeliskolan,Enskild,Stiftelsen Mikaeliskolan i Nyköping,75746018,16,"75,0",~100,"205,5","75,0",~100,"205,5",2016
Nyköping,Vittra Kungshagen,Enskild,Vittraskolorna AB,50698424,24,"79,2",~100,"211,4","79,2",~100,"211,4",2016
Nynäshamn,Gröndalsskolan F-9,Kommunal,Nynäshamn,65717061,84,"84,5","92,9","232,5","84,5","92,9","232,5",2016
Nynäshamn,Sunnerbyskolan F-9,Kommunal,Nynäshamn,78703073,45,"80,0","80,0","219,8","80,0","80,0","219,8",2016
Nynäshamn,Vanstaskolan 4-9,Kommunal,Nynäshamn,73184416,44,"61,4","75,0","214,9","61,4","75,0","214,9",2016
Nynäshamn,Viaskolan 6-9,Kommunal,Nynäshamn,34814578,59,"81,4",~100,"224,4","81,4",~100,"224,4",2016
Nässjö,Brinells högstadium,Kommunal,Nässjö,27489659,91,"69,2","80,2","202,8","72,4","83,9","209,0",2016
Nässjö,Norråsaskolan,Kommunal,Nässjö,19118399,158,"63,3","74,7","209,5","65,4","77,1","214,9",2016
Nässjö,Parkskolan 7-9,Kommunal,Nässjö,97882848,93,"64,5","74,2","221,1","75,9","87,3","221,1",2016
Nässjö,Rosenholmsskolan,Kommunal,Nässjö,66394964,26,"73,1","76,9","232,4","73,1","76,9","232,4",2016
Ockelbo,Perslundaskolan,Kommunal,Ockelbo,40000547,44,"84,1",~100,"233,8","84,1",~100,"233,8",2016
Olofström,Högavångsskolan,Kommunal,Olofström,53603984,134,"83,6","88,8","221,6","83,6","88,8","221,6",2016
Orsa,Orsaskolan,Kommunal,Orsa,19694910,79,"72,2","83,5","217,8","75,0","86,8","224,5",2016
Orust,Henåns skola 7-9,Kommunal,Orust,76943513,80,"75,0","86,3","211,0","78,9","90,8","218,1",2016
Orust,Ängås skola 7-9,Kommunal,Orust,34557677,84,"76,2","85,7","213,6","80,0","90,0","218,4",2016
Orust,Orust Waldorfskola,Enskild,Waldorfpedagogik på Orust ekonomisk förening,57712538,..,..,..,..,..,..,..,2016
Osby,Hasslarödsskolan 4-9,Kommunal,Osby,25927535,67,"85,1","88,1","224,9","87,7","90,8","230,8",2016
Osby,Parkskolan F-9,Kommunal,Osby,67946840,35,"82,9",~100,"224,1","82,9",~100,"224,1",2016
Osby,Visslan,Kommunal,Osby,65486343,..,..,..,..,..,..,..,2016
Osby,Örkenedskolan F-9,Kommunal,Osby,21002578,23,"82,6","100,0","244,5","82,6","100,0","244,5",2016
Oskarshamn,Kristinebergskolan 7-9,Kommunal,Oskarshamn,73392316,83,"63,9","75,9","193,1","67,9","79,5","201,5",2016
Oskarshamn,Rödsleskolan 7-9,Kommunal,Oskarshamn,40041600,80,"77,5","88,8","225,7","78,5","89,9","228,2",2016
Oskarshamn,Vallhallaskolan 7-9,Kommunal,Oskarshamn,46592871,108,"80,6","83,3","230,9","82,9","85,7","235,1",2016
Ovanåker,Alftaskolan 7-9,Kommunal,Ovanåker,92304123,65,"66,2","72,3","184,9","75,4","82,5","194,2",2016
Ovanåker,Celsiusskolan 7-9,Kommunal,Ovanåker,43362307,70,"90,0","92,9","228,4","90,0","92,9","228,4",2016
Oxelösund,Breviksskolan åk 6-9,Kommunal,Oxelösund,34893654,82,"68,3","78,0","196,4","71,4","81,8","203,0",2016
Pajala,Kangos Kultur- o ekologiskola,Enskild,Kangos Kultur och Ekologiskola,35837794,..,..,..,..,..,..,..,2016
Pajala,Gårdbyskolan,Kommunal,Pajala,55662841,..,..,..,..,..,..,..,2016
Pajala,Junosuando Centralskola,Kommunal,Pajala,80594830,..,..,..,..,..,..,..,2016
Pajala,Pajala Centralskola,Kommunal,Pajala,12443258,47,"74,5","78,7","221,6","74,5","78,7","221,6",2016
Pajala,Tärendö Centralskola,Kommunal,Pajala,37347252,..,..,..,..,..,..,..,2016
Partille,Casa Montessori,Enskild,Montessoristiftelsen i Partille,68358072,18,"83,3",~100,"249,9","83,3",~100,"249,9",2016
Partille,Björndammens skola 4-9,Kommunal,Partille,98209377,43,"55,8","76,7","211,5","57,1","78,6","211,5",2016
Partille,Furulunds skola 6-9,Kommunal,Partille,89146220,101,"56,4","64,4","184,5","70,4","80,2","216,0",2016
Partille,Lexby skola 6-9,Kommunal,Partille,51610240,122,"79,5","83,6","238,3","89,0","93,6","238,3",2016
Partille,Ugglums skola 6-9,Kommunal,Partille,78100490,51,"96,1",~100,"266,0","96,1",~100,"266,0",2016
Partille,Vallhamra skola 7-9,Kommunal,Partille,92848832,108,"88,0","91,7","242,8","88,0","91,7","242,8",2016
Partille,Öjersjö Brunn skola 4-9,Kommunal,Partille,49402521,46,"82,6","89,1","257,2","82,6","89,1","257,2",2016
Perstorp,Centralskolan 7-9,Kommunal,Perstorp,45023939,101,"48,5","72,3","196,2","52,7","78,5","205,8",2016
Piteå,Christinaskolan,Kommunal,Piteå,94591900,111,"92,8",~100,"236,8","92,8",~100,"236,8",2016
Piteå,Hortlax skola,Kommunal,Piteå,10185533,110,"96,4","100,0","240,9","96,4","100,0","240,9",2016
Piteå,Pitholmsskolan 7-9,Kommunal,Piteå,18339846,89,"89,9","94,4","231,4","93,0",~100,"239,1",2016
Piteå,Porsnässkolan,Kommunal,Piteå,18748381,62,"82,3",~100,"226,6","83,6",~100,"229,9",2016
Piteå,Sjulnässkolan,Kommunal,Piteå,42296356,55,"83,6",~100,"237,2","85,2",~100,"241,1",2016
Piteå,Solanderskolan,Kommunal,Piteå,69993304,75,"61,3","69,3","177,7","73,0","82,5","205,0",2016
Piteå,Solanderskolan Hörsel/Stöd,Kommunal,Piteå,69238669,..,.,..,..,.,..,..,2016
Ragunda,Anders-Olofskolan,Kommunal,Ragunda,78545687,37,"64,9","75,7","209,8","72,7","84,8","213,9",2016
Ragunda,Hansåkerskolan,Kommunal,Ragunda,22316816,11,..,..,"208,0",..,..,"208,0",2016
Robertsfors,Tundalsskolan åk 7-9,Kommunal,Robertsfors,74131494,61,"72,1","83,6","219,4","75,9","87,9","222,9",2016
Ronneby,Kallingeskolan 7-9,Kommunal,Ronneby,53155267,101,"62,4","75,2","209,5","64,9","78,4","211,5",2016
Ronneby,Snäckebacksskolan,Kommunal,Ronneby,73745566,152,"67,1","77,0","207,0","70,3","80,7","208,7",2016
Ronneby,Thoren Framtid i Ronneby,Enskild,Thoren Framtid AB,38449858,43,"72,1","81,4","223,3","75,6","85,4","223,3",2016
Rättvik,Furudals centralskola,Kommunal,Rättvik,30917018,16,"100,0","100,0","222,2","100,0","100,0","222,2",2016
Rättvik,Rättviksskolan,Kommunal,Rättvik,73451967,77,"90,9",~100,"227,0","90,9",~100,"227,0",2016
Sala,Ekebyskolan,Kommunal,Sala,36193586,105,"75,2","88,6","226,4","75,2","88,6","226,4",2016
Sala,Vallaskolan 7-9,Kommunal,Sala,64954528,108,"78,7","85,2","221,2","79,4","85,0","221,4",2016
Salem,Nytorpsskolan,Kommunal,Salem,36262199,26,"92,3",~100,"258,2","92,3",~100,"258,2",2016
Salem,Rönninge skola,Kommunal,Salem,71677992,57,"94,7",~100,"258,8","94,7",~100,"258,8",2016
Salem,Skogsängsskolan,Kommunal,Salem,58385274,..,..,..,..,..,..,..,2016
Salem,Säbyskolan,Kommunal,Salem,92406445,50,"62,0","74,0","219,9","62,0","74,0","219,9",2016
Salem,Söderby friskola,Enskild,Söderby Friskola Ekonomisk Förening,56858061,25,"72,0","76,0","226,4","72,0","76,0","226,4",2016
Sandviken,Prosperitas utbildning,Enskild,Prosperitas Utbildning AB,91119383,17,"82,4",~100,"204,3","82,4",~100,"204,3",2016
Sandviken,Björksätraskolan F-9,Kommunal,Sandviken,53803818,150,"70,7","81,3","210,2","72,1","83,0","214,1",2016
Sandviken,Hedängskolan 7-9,Kommunal,Sandviken,23876630,69,"71,0","88,4","220,4","71,0","88,4","220,4",2016
Sandviken,Jernvallsskolan 4-9,Kommunal,Sandviken,30006957,57,"78,9","84,2","210,2","78,9","84,2","210,2",2016
Sandviken,Murgårdsskolan,Kommunal,Sandviken,78907748,92,"53,3","67,4","172,4","56,3","71,3","180,6",2016
Sandviken,Österfärnebo skola,Kommunal,Sandviken,73076578,15,..,..,"117,0",..,..,..,2016
Sandviken,Sandvikens Montessoriskola,Enskild,Sandvikens Montessoriskolas Ekonomiska Förening,17233525,30,"83,3",~100,"231,6","82,8",~100,"231,9",2016
Sigtuna,Ekillaskolan,Kommunal,Sigtuna,14261356,153,"73,2","78,4","220,9","74,5","79,9","223,8",2016
Sigtuna,S:t Olofs skola,Kommunal,Sigtuna,13579948,137,"82,5","86,9","221,6","83,1","87,5","223,0",2016
Sigtuna,Valstaskolan 7-9,Kommunal,Sigtuna,61234191,78,"59,0","67,9","202,4","61,6","71,2","204,4",2016
Sigtuna,Skolan Bergius,Enskild,Sigtuna Friskola AB,35008423,62,"80,6",~100,"257,7","80,6",~100,"257,7",2016
Sigtuna,"Sigtunaskolan hum. läroverket, gr",Enskild,Sigtuna Skolstiftelse,70883860,81,"76,5","84,0","257,3","78,9","86,8","259,9",2016
Sigtuna,"Josefinaskolan, grundskola",Enskild,Stiftelsen Josefinaskolan,55508705,17,"94,1","100,0","252,9","94,1","100,0","252,9",2016
Simrishamn,Nils Holgerssonskolan,Enskild,Föräldrakooperativet Nils Holgerssonskolan Ek Fö,24445412,26,"69,2","80,8","207,3","75,0",~100,"223,2",2016
Simrishamn,Korsavadsskolan,Kommunal,Simrishamn,66350640,139,"70,5","77,0","235,2","83,1","90,7","243,6",2016
Simrishamn,Sophiaskolan,Enskild,"Stift Sophiaskolan, Österlens Waldorfskola",59958745,21,"71,4",~100,"235,8","71,4",~100,"235,8",2016
Sjöbo,Vollsjö Friskola,Enskild,Almaröd Friskola AB,78396564,..,..,..,..,..,..,..,2016
Sjöbo,Emanuelskolan,Kommunal,Sjöbo,37998000,59,"76,3","81,4","231,8","84,9","90,6","231,8",2016
Sjöbo,"Färsinga lärcentrum, åk 4-9",Kommunal,Sjöbo,17176734,81,"61,7","76,5","206,6","70,4","87,3","212,2",2016
Sjöbo,Storkskolan,Kommunal,Sjöbo,55675413,32,"90,6",~100,"242,3","93,5","100,0","246,2",2016
Skara,Friskolan Metis,Enskild,Lärocentrum i Skara Ekonomisk Förening,46013569,25,"80,0",~100,"237,4","79,2",~100,"236,4",2016
Skara,Skara 7-9,Kommunal,Skara,69191781,152,"88,2","92,1","234,4","88,7","92,7","235,2",2016
Skellefteå,Björnåkersskolan 6-9,Kommunal,Skellefteå,61150314,42,"81,0",~100,"233,1","81,0",~100,"233,1",2016
Skellefteå,Bolidenskolan 6-9,Kommunal,Skellefteå,69217837,31,"48,4","54,8","151,6","55,6","63,0","166,1",2016
Skellefteå,Brännanskolan,Kommunal,Skellefteå,16211359,93,"91,4","93,5","247,6","95,5",~100,"250,2",2016
Skellefteå,Bureskolan 6-9,Kommunal,Skellefteå,62125265,47,"72,3","85,1","221,6","72,3","85,1","221,6",2016
Skellefteå,Byskeskolan 6-9,Kommunal,Skellefteå,97534677,46,"60,9","78,3","191,3","65,1","83,7","193,5",2016
Skellefteå,Furuskolan,Kommunal,Skellefteå,62717625,11,..,..,"195,8",..,..,"195,8",2016
Skellefteå,Kanalskolan,Kommunal,Skellefteå,94485755,75,"92,0","93,3","238,1","92,0","93,3","238,1",2016
Skellefteå,Kågeskolan 6-9,Kommunal,Skellefteå,66412077,66,"90,9","100,0","220,6","90,9","100,0","220,6",2016
Skellefteå,Lövångersskolan,Kommunal,Skellefteå,87194036,38,"47,4","57,9","188,8","64,3","78,6","199,9",2016
Skellefteå,Norrhammarskolan 6-9,Kommunal,Skellefteå,40166272,114,"71,9","81,6","224,3","75,2","85,3","226,0",2016
Skellefteå,Sörböleskolan Öst,Kommunal,Skellefteå,83796196,105,"61,9","70,5","196,1","70,7","80,4","213,6",2016
Skellefteå,Ursviksskolan 6-9,Kommunal,Skellefteå,37579892,51,"88,2",~100,"214,6","88,2",~100,"214,6",2016
Skellefteå,Örjansskolan 6-9,Kommunal,Skellefteå,99512173,58,"55,2","63,8","174,6","66,7","77,1","205,1",2016
Skellefteå,Björkskolan,Enskild,Skellefteå Kristna Skolförening,65417636,24,"87,5",~100,"234,8","87,5",~100,"234,8",2016
Skinnskatteberg,Klockarbergsskolan,Kommunal,Skinnskatteberg,62958817,52,"30,8","42,3","165,4","48,5","66,7","179,0",2016
Skurup,Alléskolan,Kommunal,Skurup,60217642,25,"96,0",~100,"235,2","96,0",~100,"235,2",2016
Skurup,Mackleanskolan,Kommunal,Skurup,21999433,152,"82,2","90,8","224,8","83,3","91,3","225,6",2016
Skövde,Mia skola,Enskild,Mia skola AB,94502924,..,..,..,..,..,..,..,2016
Skövde,Eriksdalskolan 863,Kommunal,Skövde,97361837,85,"68,2","82,4","198,8","74,4","89,7","210,3",2016
Skövde,Helenaskolan 857,Kommunal,Skövde,33092776,193,"68,4","76,2","203,3","74,2","82,6","210,8",2016
Skövde,Stöpenskolan,Kommunal,Skövde,89477299,100,"64,0","82,0","213,5","64,0","82,0","213,5",2016
Skövde,Vasaskolan 859,Kommunal,Skövde,16057411,91,"86,8","87,9","239,9","96,3",~100,"239,9",2016
Skövde,Vasaskolan 869,Kommunal,Skövde,83894630,94,"83,0","91,5","236,5","85,7","94,5","236,5",2016
Smedjebacken,Bergaskolan,Kommunal,Smedjebacken,81136807,78,"47,4","50,0","137,6","75,5","79,6","192,9",2016
Smedjebacken,Kyrkskolan,Kommunal,Smedjebacken,68814096,20,"95,0",~100,"252,1","95,0",~100,"252,1",2016
Sollefteå,Junsele skola,Kommunal,Sollefteå,49748045,34,"73,5","73,5","198,3","78,1","78,1","204,1",2016
Sollefteå,Ramsele skola,Kommunal,Sollefteå,20197159,22,"68,2","77,3","215,0","78,9",~100,"215,0",2016
Sollefteå,Vallaskolan 7-9,Kommunal,Sollefteå,70478601,168,"65,5","73,8","190,2","75,3","84,9","208,9",2016
Sollentuna,Futuraskolan Hertig Karl,Enskild,Futuraskolan AB,40467992,22,"86,4",~100,"252,6","86,4",~100,"252,6",2016
Sollentuna,Futuraskolan Rådan,Enskild,Futuraskolan AB,47986219,..,..,..,..,..,..,..,2016
Sollentuna,Mikaelskolan,Enskild,Föreningen Mikaelskolan,85777315,24,"91,7",~100,"253,3","91,7",~100,"253,3",2016
Sollentuna,Norrvikens skola,Enskild,Norrviken Utbildning AB,47462120,77,"97,4",~100,"268,1","97,4",~100,"268,1",2016
Sollentuna,Brage- skola och språkförskola,Kommunal,Sollentuna,12092203,..,.,..,..,.,..,..,2016
Sollentuna,Edsbergsskolan,Kommunal,Sollentuna,38076081,138,"87,7","94,9","259,4","87,7","94,9","259,4",2016
Sollentuna,Edsbergsskolans Förberedelseklasser,Kommunal,Sollentuna,85230659,..,.,.,..,.,.,..,2016
Sollentuna,Förberedelseklasser Sofielundsskolan,Kommunal,Sollentuna,91113722,..,.,.,..,.,.,..,2016
Sollentuna,Gärdesskolan,Kommunal,Sollentuna,77585025,64,"98,4",~100,"280,6","98,4",~100,"280,6",2016
Sollentuna,Gärdesskolan Förberedelseklasser,Kommunal,Sollentuna,45706637,12,.,.,.,.,.,.,2016
Sollentuna,Helenelundsskolan,Kommunal,Sollentuna,15572902,117,"91,5",~100,"255,5","91,5",~100,"255,5",2016
Sollentuna,Helenelundsskolan Förberedelseklasser,Kommunal,Sollentuna,42651404,..,.,.,..,.,.,..,2016
Sollentuna,Häggviksskolan,Kommunal,Sollentuna,96594250,44,"86,4",~100,"243,3","86,4",~100,"243,3",2016
Sollentuna,Häggviksskolan Förberedelseklasser,Kommunal,Sollentuna,37460427,..,.,.,.,.,.,.,2016
Sollentuna,Häggviksskolan LSI,Kommunal,Sollentuna,68505032,..,..,..,..,..,..,..,2016
Sollentuna,Runbacka skolor/Fenix,Kommunal,Sollentuna,43236825,..,..,..,..,..,..,..,2016
Sollentuna,Runbacka skolor/Runan,Kommunal,Sollentuna,62737044,54,"94,4",~100,"263,4","94,4",~100,"263,4",2016
Sollentuna,Sofielundsskolan,Kommunal,Sollentuna,68288321,53,"88,7",~100,"250,9","88,5",~100,"251,6",2016
Sollentuna,Sollentuna International school,Kommunal,Sollentuna,27740655,22,"81,8",~100,"255,9","81,0",~100,"256,9",2016
Sollentuna,Sollentuna International School RN,Kommunal,Sollentuna,91730309,..,..,..,..,..,..,..,2016
Sollentuna,Sollentuna musikklasser,Kommunal,Sollentuna,21871265,57,"96,5",~100,"287,1","96,5",~100,"287,1",2016
Sollentuna,Utbildning Rotebro/Gillbo Förberedelseklasser,Kommunal,Sollentuna,36556046,..,.,.,..,.,.,..,2016
Sollentuna,Utbildning Rotebro/Gillboskola,Kommunal,Sollentuna,59955409,41,"80,5",~100,"222,7","80,5",~100,"222,7",2016
Sollentuna,Utbildning Silverdal Förberedelseklasser,Kommunal,Sollentuna,68837718,..,.,.,..,.,.,.,2016
Sollentuna,"Utbildning Silverdal, gr",Kommunal,Sollentuna,67346137,74,"91,9","93,2","274,7","91,9","93,2","274,7",2016
