skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,year
De Geergymnasiet 2,40549870,Norrköping,0581,2120000456,Norrköping,Kommunal,"3,1",.,"3,1","80,9","63,7",.,"8,3","0,5","52,0",2014
De Geergymnasiet 3,65150019,Norrköping,0581,2120000456,Norrköping,Kommunal,"33,8","1,0","32,8","46,8","73,8",.,"9,9","1,0","332,7",2014
Ebersteinska gymnasiet 1,83805032,Norrköping,0581,2120000456,Norrköping,Kommunal,"22,0","1,0","21,0","23,2","61,8",.,"7,4","0,4","445,7",2014
Ebersteinska gymnasiet 2,48862305,Norrköping,0581,2120000456,Norrköping,Kommunal,"27,2","1,0","26,2","16,9","69,5",.,"12,7","0,9","368,9",2014
Ebersteinska gymnasiet 3,32887559,Norrköping,0581,2120000456,Norrköping,Kommunal,"23,3","1,0","22,3","16,2","85,2","1,3","10,0","0,6","371,7",2014
Ebersteinska gymnasiet 4,28501375,Norrköping,0581,2120000456,Norrköping,Kommunal,"17,3","1,0","16,3","52,2","93,3","2,1","13,2","0,3","720,0",2014
Ebersteinska gymnasiet 5,71541108,Norrköping,0581,2120000456,Norrköping,Kommunal,"17,0","1,0","16,0","57,2","92,8",.,"13,1","0,5","418,0",2014
Ebersteinska gymnasiet 6,62956050,Norrköping,0581,2120000456,Norrköping,Kommunal,"12,5","1,0","11,5","82,6","72,2","3,0","7,7","0,4","251,4",2014
Film & Musikgymnasiet,47537928,Norrköping,0581,8220049426,Föreningen Q,Enskild,"14,3","0,5","13,8","47,5","46,0",.,"8,8",.,.,2014
Fria Läroverken Norrköping,69471748,Norrköping,0581,5569172041,Fria Läroverken i Sverige AB,Enskild,"23,2","1,0","22,2","43,6","84,7",.,"18,3",.,.,2014
Hagagymnasiet skolenhet grön,76485705,Norrköping,0581,2120000456,Norrköping,Kommunal,"20,7",.,"20,7","66,1","85,5",.,"18,2",.,.,2014
Hagagymnasiet skolenhet gul,31771188,Norrköping,0581,2120000456,Norrköping,Kommunal,"6,0",.,"6,0","33,3","83,3",.,"15,5",.,.,2014
Hagagymnasiet skolenhet röd,93239262,Norrköping,0581,2120000456,Norrköping,Kommunal,"26,9","1,0","25,9","73,0","93,4","7,7","13,6",.,.,2014
Kungsgårdsgymnasiet 1,99976753,Norrköping,0581,2120000456,Norrköping,Kommunal,"33,1",.,"33,1","75,1","80,4","2,0","9,1",.,.,2014
Kungsgårdsgymnasiet 2,58037626,Norrköping,0581,2120000456,Norrköping,Kommunal,"24,0",.,"24,0","77,7","68,8",.,"16,3",.,.,2014
Kunskapsgymnasiet Norrköping,75575321,Norrköping,0581,5565661815,Kunskapsskolan i Sverige AB,Enskild,"25,5","1,0","24,5","53,7","77,6",.,"16,2","0,5","796,0",2014
Plusgymnasiet i Norrköping,28023078,Norrköping,0581,5565789129,Plusgymnasiet AB,Enskild,"20,8","1,0","19,8","56,5","48,3","0,5","14,5","0,5","574,0",2014
Realgymnasiet Norrköping,43284031,Norrköping,0581,5565715892,Lärande i Sverige AB,Enskild,"17,4","1,0","16,4","41,0","67,0",.,"16,4",.,.,2014
Rytmus Norrköping,61490754,Norrköping,0581,5564648979,Rytmus AB,Enskild,"7,6","1,0","6,6","50,4","76,3",.,"8,4","0,0","1 833,3",2014
Carl Wahrens Gymnasium,13963517,Norrtälje,0188,5568027378,Roslagen Education AB,Enskild,"13,0","0,5","12,5","56,0","44,0",.,"11,6",.,.,2014
"Ekebyholmsskolan, gy",24194577,Norrtälje,0188,5562512425,Ekebyholmsskolan AB,Enskild,"4,5","0,3","4,3","56,7","61,6",.,"7,3",.,.,2014
Friluftsgymnasiet,70847078,Norrtälje,0188,5568111198,Energy Outdoor Sweden AB,Enskild,"2,6","0,3","2,4","33,5","30,1",.,"2,5",.,.,2014
Norrtelje Teknik- och Naturbruksgymnasium,26267406,Norrtälje,0188,5567916761,Norrtelje teknikgymnasium AB,Enskild,"11,3","1,0","10,3","37,9","56,3",.,"8,8","0,5","182,0",2014
Rodens högskoleförberedande gy,85749199,Norrtälje,0188,2120000217,Norrtälje,Kommunal,"49,3","1,0","48,3","58,8","88,6","0,6","15,2","2,7","271,5",2014
Rodens Yrkesgymnasium,40520688,Norrtälje,0188,2120000217,Norrtälje,Kommunal,"37,2","0,5","36,7","18,1","55,0","2,7","9,4","2,3","149,1",2014
Norsjö gymnasium,25985417,Norsjö,2417,2120002858,Norsjö,Kommunal,"11,8","0,7","11,1","48,3","72,1",.,"4,4","0,2","245,0",2014
Åkrahällskolan Akra01,35035671,Nybro,0881,2120000753,Nybro,Kommunal,"16,9","0,7","16,2","63,0","67,9","3,5","8,6","0,3","421,2",2014
Åkrahällskolan Akra02,12130801,Nybro,0881,2120000753,Nybro,Kommunal,"23,2","0,9","22,3","32,8","86,6","2,5","8,4","0,7","257,5",2014
Åkrahällskolan Akra03,51736304,Nybro,0881,2120000753,Nybro,Kommunal,"11,6","0,7","11,0","79,4","61,1","9,9","7,4","0,3","238,2",2014
Praktiska Nykvarn,53180719,Nykvarn,0140,5562575786,Praktiska Sverige AB,Enskild,"12,6","1,0","11,6","30,2","37,1",.,"17,2",.,.,2014
Elteknikbranschens gymnasium,27489137,Nyköping,0480,5567106637,Elteknikbranschens Gymnasium i Nyköping AB,Enskild,"6,8","1,0","5,8","25,6","77,1",.,"14,1","0,1","1 640,0",2014
Framtidsgymnasiet Nyköping,15609112,Nyköping,0480,5565304481,Framtidsgymnasiet Öst AB,Enskild,"11,0","1,0","10,0","20,0","40,0",.,"9,6","0,1","1 920,0",2014
LBS Ljud & Bildskolan Nyköping,44285075,Nyköping,0480,5564851649,Ljud & Bildskolan LBS AB,Enskild,"12,9",.,"12,9","43,8","51,2",.,"14,2",.,.,2014
Nyköping Strand Utbildn.center,60424371,Nyköping,0480,5564710795,Nyköping Strand Utbildningscentrum AB,Enskild,"20,6","2,0","18,6","73,9","53,4",.,"11,4","0,1","2 110,0",2014
Nyköpings Enskilda Gymnasium,95785055,Nyköping,0480,5564418449,Erastos AB,Enskild,"24,9","0,7","24,3","63,7","86,6","1,2","17,1","0,8","518,8",2014
Nyköpings gymnasium Gripen1,68655578,Nyköping,0480,2120002940,Nyköping,Kommunal,"27,2","1,0","26,2","42,1","73,2","2,5","12,3","0,8","402,5",2014
Nyköpings gymnasium Gripen2,99946034,Nyköping,0480,2120002940,Nyköping,Kommunal,"21,1","0,5","20,6","63,7","84,5",.,"7,2","0,8","185,0",2014
Nyköpings gymnasium Skavsta,17062663,Nyköping,0480,2120002940,Nyköping,Kommunal,"21,7","0,8","20,9","21,8","55,9","1,7","8,7","0,2","905,0",2014
Nyköpings gymnasium Tessin,68741484,Nyköping,0480,2120002940,Nyköping,Kommunal,"57,5","1,0","56,5","50,9","76,5","1,2","11,4","1,8","358,3",2014
Realgymnasiet Nyköping,56267421,Nyköping,0480,5565715892,Lärande i Sverige AB,Enskild,"6,5","0,9","5,6","53,6","76,8",.,"11,1",.,.,2014
Nynäshamns gymnasium,37054246,Nynäshamn,0192,2120000233,Nynäshamn,Kommunal,"37,3","0,8","36,5","34,2","81,1","2,7","12,0","1,9","236,8",2014
Brinellgymnasiet 1,96383883,Nässjö,0682,2120000548,Nässjö,Kommunal,"35,6","1,0","34,6","63,7","79,9","5,1","9,8","1,0","338,0",2014
Brinellgymnasiet 2,39199869,Nässjö,0682,2120000548,Nässjö,Kommunal,"34,0","1,0","33,0","26,4","83,5","3,0","8,6","1,0","282,0",2014
Brinellgymnasiet 3,62216381,Nässjö,0682,2120000548,Nässjö,Kommunal,"22,3","1,0","21,3","42,1","45,5","3,8","9,0","0,5","384,0",2014
Brinellgymnasiet 4,31179045,Nässjö,0682,2120000548,Nässjö,Kommunal,"25,5","1,0","24,5","47,8","87,8","4,1","14,0","0,5","686,0",2014
Klaragymnasiet med internat,15763669,Olofström,1060,2220000711,Olofström,Kommunal,"11,0","1,0","10,0","49,7","79,9","10,1","3,4",.,.,2014
Nordenbergsskolan 1,59655752,Olofström,1060,2120000811,Olofström,Kommunal,"24,4","1,0","23,4","56,2","69,6","8,7","10,7","1,0","256,7",2014
Nordenbergsskolan 2,88750078,Olofström,1060,2120000811,Olofström,Kommunal,"18,5","1,0","17,5","24,0","67,4","6,5","9,5","0,6","259,4",2014
Nordenbergsskolan 3,50108759,Olofström,1060,2120000811,Olofström,Kommunal,"4,6","0,5","4,1","53,4","97,6","17,0","8,3","0,1","242,9",2014
Gymnasieutbildningen i Orust,41878314,Orust,1421,2120001314,Orust,Kommunal,"5,5","0,5","5,0","54,6","95,0","10,0","6,6","0,4","76,7",2014
Ekbackeskolan gymnasium,41555549,Osby,1273,2120000902,Osby,Kommunal,"31,6","1,0","30,6","52,9","81,6","6,5","10,5","1,0","320,0",2014
Naturbruksgymnasiet Osby,32003298,Osby,1273,2120000902,Osby,Kommunal,"27,2","0,9","26,3","18,1","49,8",.,"4,4","0,3","390,0",2014
Elajo Technical Edu. Center,22383788,Oskarshamn,0882,5562216027,Elajo Technical Education Center AB,Enskild,"7,2","1,0","6,2","16,3","63,4",.,"13,3",.,.,2014
Oscarsgymnasiet A,85459854,Oskarshamn,0882,2120000761,Oskarshamn,Kommunal,"32,0","1,0","31,0","35,4","81,3",.,"11,4","1,0","354,0",2014
Oscarsgymnasiet B,81876614,Oskarshamn,0882,2120000761,Oskarshamn,Kommunal,"24,1","1,0","23,1","42,1","77,3",.,"11,9","0,5","550,0",2014
Oscarsgymnasiet C,44963095,Oskarshamn,0882,2120000761,Oskarshamn,Kommunal,"6,1","0,4","5,7","90,2","91,8",.,"8,6",.,.,2014
Oscarsgymnasiet D,18711877,Oskarshamn,0882,2120000761,Oskarshamn,Kommunal,"15,7","0,8","14,9","81,1","89,9","5,4","7,0","0,8","130,0",2014
Oscarsgymnasiet E,48239840,Oskarshamn,0882,2120000761,Oskarshamn,Kommunal,"11,9","0,2","11,7","31,3","73,5",.,"5,7","0,1","670,0",2014
Voxnadalens gymnasium,67071618,Ovanåker,2121,2120002304,Ovanåker,Kommunal,"34,6","0,8","33,9","55,7","77,0","3,0","9,1","0,5","616,0",2014
Nat. Språkutv.center Oxelösund,36929920,Oxelösund,0481,5564948403,Nationellt Språkutvecklingscenter i Oxelösund AB,Enskild,"4,4","0,9","3,6","8,5",.,.,"6,2",.,.,2014
Laestadiusskolan,75324351,Pajala,2521,2220000760,Pajala,Kommunal,"17,9","1,0","16,9","39,1","68,9",.,"8,3","0,5","282,0",2014
Partille gymnasium Nat.Prg.,61229217,Partille,1402,2120001272,Partille,Kommunal,"17,5",.,"17,5","42,6","87,7","6,0","20,6",.,.,2014
Partille gymnasium/IM,21862642,Partille,1402,2120001272,Partille,Kommunal,"5,8",.,"5,8","58,8","98,3","9,5","10,9",.,.,2014
Artur Lundkvists utb.c/gymnutb,64857547,Perstorp,1275,2120000910,Perstorp,Kommunal,"1,9","0,5","1,4","100,0","71,4",.,"15,7","0,5","44,0",2014
Perstorp Gymnasium,58929357,Perstorp,1275,5560246513,Perstorp AB,Enskild,"8,8","0,9","7,9","72,6","89,9",.,"9,4","0,1","740,0",2014
Strömbacka Frigg,70376604,Piteå,2581,2120002759,Piteå,Kommunal,"27,0","1,0","26,0","68,6","82,1","3,7","10,7","0,9","328,2",2014
Strömbacka Hugin,59575030,Piteå,2581,2120002759,Piteå,Kommunal,"23,8","1,0","22,8","53,2","94,6","7,9","13,5","1,0","307,0",2014
Strömbacka Magne,93503103,Piteå,2581,2120002759,Piteå,Kommunal,"18,7","0,5","18,2","29,4","89,8","5,5","9,8","0,3","712,0",2014
Strömbacka Mjölner,41697930,Piteå,2581,2120002759,Piteå,Kommunal,"30,5","1,0","29,5","34,0","79,7","2,0","9,6","0,9","315,6",2014
Strömbacka Munin,28025244,Piteå,2581,2120002759,Piteå,Kommunal,"21,4","1,0","20,4","76,8","97,3",.,"12,8","0,8","346,7",2014
"Jämtlands Gymn, Bispgården",17184072,Ragunda,2303,2220001636,Ragunda,Kommunal,"6,6","0,5","6,1","56,6","82,8","6,6","11,0","0,3","223,3",2014
Lärcentrum,34838015,Robertsfors,2409,2120002551,Robertsfors,Kommunal,"5,3","0,2","5,1","46,6","72,3",.,"3,4","0,2","85,0",2014
Gymnasieskolan Knut Hahn 1,40338843,Ronneby,1081,2120000837,Ronneby,Kommunal,"27,5","1,0","26,5","54,7","96,2",.,"10,4",.,.,2014
Gymnasieskolan Knut Hahn 2,77440824,Ronneby,1081,2120000837,Ronneby,Kommunal,"23,6","1,0","22,6","38,9","83,6",.,"8,0",.,.,2014
Gymnasieskolan Knut Hahn 3,13883567,Ronneby,1081,2120000837,Ronneby,Kommunal,"9,6","1,0","8,6","50,9","71,3","11,7","14,7",.,.,2014
Gymnasieskolan Knut Hahn 4,71069359,Ronneby,1081,2120000837,Ronneby,Kommunal,"2,0",.,"2,0","50,0","100,0",.,"8,0",.,.,2014
Naturbruksgymnasiet i Blekinge,86896907,Ronneby,1081,2120000837,Ronneby,Kommunal,"16,6","1,0","15,6","48,8","55,6",.,"7,0","0,2","550,0",2014
Sjöarpsskolan gy,56336528,Ronneby,1081,2120000837,Ronneby,Kommunal,"1,1","0,1","1,0","60,0","100,0",.,"8,0","0,1","160,0",2014
Stiernhööksgymnasiet,14292382,Rättvik,2031,2120002171,Rättvik,Kommunal,"20,3","1,0","19,3","40,3","100,0",.,"11,9","1,0","230,0",2014
Stiernhööksgymnasiet Naturbruk,62349617,Rättvik,2031,2120002171,Rättvik,Kommunal,"23,4","1,0","22,4","73,6","91,1",.,"8,0","1,0","179,0",2014
ABB Industrigymnasium Sala,51981332,Sala,1981,5566081740,Industritekniska Gymnasiet Bergslagen AB,Enskild,"6,3","0,5","5,8","64,1","87,9",.,"13,0",.,.,2014
Kungsängsgymnasiet,87859089,Sala,1981,2120002098,Sala,Kommunal,"37,0","1,0","36,0","51,6","78,1",.,"10,2","1,0","366,0",2014
Västmanland naturbruksgy. Ösby,54764253,Sala,1981,2120002098,Sala,Kommunal,"22,2","1,0","21,2","52,3","59,1",.,"8,7","0,3","736,0",2014
Rönninge gymnasium,98908403,Salem,0128,2120002874,Salem,Kommunal,"39,9","1,0","38,9","44,2","78,2","1,3","16,0","1,8","345,0",2014
Bessemerskolan,16493131,Sandviken,2181,2120002346,Sandviken,Kommunal,"118,3","1,0","117,3","42,4","67,4","2,2","8,8","3,0","345,7",2014
Göranssonska skolan,41119610,Sandviken,2181,5563048791,Sandvik Utbildningsaktiebolag,Enskild,"22,2","1,0","21,2","47,2","66,0",.,"9,0",.,.,2014
Arlandagymnasiet 1,83272868,Sigtuna,0191,2120000225,Sigtuna,Kommunal,"21,1","1,0","20,1","56,6","73,7","0,8","12,6","1,0","254,0",2014
Arlandagymnasiet 2,11526364,Sigtuna,0191,2120000225,Sigtuna,Kommunal,"12,7","1,0","11,7","40,1","76,3","1,5","10,3","0,4","302,5",2014
Arlandagymnasiet 3,48304166,Sigtuna,0191,2120000225,Sigtuna,Kommunal,"8,2",.,"8,2","45,3","98,5","2,1","13,7","0,4","282,5",2014
Arlandagymnasiet 4,66912789,Sigtuna,0191,2120000225,Sigtuna,Kommunal,"19,6","1,0","18,6","56,4","83,7","0,9","15,0","1,0","279,0",2014
Arlandagymnasiet 5,66494337,Sigtuna,0191,2120000225,Sigtuna,Kommunal,"15,4","1,0","14,4","63,5","74,8","1,1","8,3","1,0","119,0",2014
Arlandagymnasiet 6,43318533,Sigtuna,0191,2120000225,Sigtuna,Kommunal,"6,3","1,0","5,3","50,1","75,8","3,0","8,3","0,2","220,0",2014
Praktiska Märsta,24982097,Sigtuna,0191,5562575786,Praktiska Sverige AB,Enskild,"12,7","1,0","11,7","34,2","61,5",.,"9,4",.,.,2014
"Sigtunaskolan hum. läroverket, gy",45552626,Sigtuna,0191,8148002879,Sigtuna Skolstiftelse,Enskild,"32,1","0,5","31,6","49,6","83,5","2,5","8,4","0,5","534,0",2014
Nova Academy,16748680,Simrishamn,1291,2120000969,Simrishamn,Kommunal,"4,3","1,0","3,3","33,3","72,7",.,"16,1",.,.,2014
Österlengymnasiet,68597767,Simrishamn,1291,2120000969,Simrishamn,Kommunal,"18,0","1,0","17,0","71,7","87,6","5,9","7,2","0,6","203,3",2014
Malenagymnasiet,27964873,Sjöbo,1265,2120001090,Sjöbo,Kommunal,"28,4","1,0","27,4","18,2","41,6","3,6","5,8","1,0","159,0",2014
Katedralskolan Skara Ro A,77986149,Skara,1495,2120001702,Skara,Kommunal,"4,7",.,"4,7","57,4","42,6","42,6","23,8","1,0","112,0",2014
Katedralskolan Skara Ro B,30706655,Skara,1495,2120001702,Skara,Kommunal,"24,6","1,0","23,6","32,8","77,3",.,"10,3",.,.,2014
Katedralskolan Skara Ro C,65674821,Skara,1495,2120001702,Skara,Kommunal,"27,7",.,"27,7","34,5","58,8",.,"6,8",.,.,2014
Katedralskolan Skara Ro D,92332557,Skara,1495,2120001702,Skara,Kommunal,"6,8",.,"6,8","55,6","100,0",.,"33,3",.,.,2014
Katedralskolan Skara Ro E,25535510,Skara,1495,2120001702,Skara,Kommunal,"5,0",.,"5,0","100,0","60,0",.,"11,6",.,.,2014
Anderstorpsskolan,78690637,Skellefteå,2482,2120002643,Skellefteå,Kommunal,"92,6","3,5","89,1","54,1","90,5","3,4","10,7","2,0","475,0",2014
Balderskolan,38048202,Skellefteå,2482,2120002643,Skellefteå,Kommunal,"97,7","4,2","93,5","65,6","96,1","2,6","10,7","4,0","251,0",2014
Guldstadsgymnasiet i Skellefteå,90990441,Skellefteå,2482,5569173635,Honesta Skolutveckling AB,Enskild,"12,2","1,0","11,2","41,3","69,6","4,5","10,8","0,9","134,4",2014
Kaplanskolan,48047070,Skellefteå,2482,2120002643,Skellefteå,Kommunal,"43,7","1,2","42,5","32,2","82,8","1,8","10,3","1,8","242,8",2014
Naturbruksgymnasiet i Burträsk,86319615,Skellefteå,2482,2120002643,Skellefteå,Kommunal,"8,4","1,0","7,4","18,9","52,7",.,"8,0","0,2","295,0",2014
Praktiska Skellefteå,87303004,Skellefteå,2482,5562575786,Praktiska Sverige AB,Enskild,"11,6","1,0","10,6","52,7","43,5",.,"10,3","0,6","181,7",2014
Yrkesgymnasiet Skellefteå,97835550,Skellefteå,2482,5566139290,ThorenGruppen AB,Enskild,"6,7","1,0","5,7","57,0","82,5","11,4","14,9","0,5","170,0",2014
Nils Holgerssongy i Skurup,22446331,Skurup,1264,2120001082,Skurup,Kommunal,"20,8","0,5","20,3","38,9","69,3",.,"10,0","1,0","204,0",2014
IT-Gymnasiet i Skövde,26671095,Skövde,1496,5566134572,Fria Academien i Skövde AB,Enskild,"16,9","1,0","15,9","51,8","42,8",.,"11,9","0,5","378,0",2014
Kavelbro enhet 11,42911621,Skövde,1496,2120001710,Skövde,Kommunal,"23,2","1,0","22,2","16,5","61,3","1,5","16,1","0,5","716,0",2014
Kavelbro enhet 12,40575001,Skövde,1496,2120001710,Skövde,Kommunal,"22,4","1,0","21,4","49,4","82,2","1,6","9,6","0,3","820,0",2014
Kavelbro enhet 16,43998440,Skövde,1496,2120001710,Skövde,Kommunal,"21,0","1,0","20,0","66,2","85,0",.,"8,9",.,.,2014
Lichron Teknikgymnasium Skövde,75027822,Skövde,1496,5567560635,Lichron Teknik AB,Enskild,"11,9","0,9","11,0","29,1","19,1",.,"8,4",.,.,2014
Plusgymnasiet i Skövde,26508763,Skövde,1496,5565789129,Plusgymnasiet AB,Enskild,"12,2","1,0","11,2","54,5","54,5","1,8","13,9","0,2","780,0",2014
Praktiska Skövde,14504503,Skövde,1496,5562575786,Praktiska Sverige AB,Enskild,"10,3","1,0","9,3","79,6","88,2",.,"9,4",.,.,2014
Volvogymnasiet Skövde,21850904,Skövde,1496,5560743089,Volvo Personvagnar AB,Enskild,"13,7","0,8","12,9","37,8","51,7","1,5","11,0","0,1","1 420,0",2014
Västerhöjd enhet 1,65320354,Skövde,1496,2120001710,Skövde,Kommunal,"24,2",.,"24,2","28,0","87,6","7,9","14,0","0,3","1 024,2",2014
Västerhöjd enhet 13,16198647,Skövde,1496,2120001710,Skövde,Kommunal,"21,7","1,0","20,7","74,2","94,0","3,2","7,6","0,3","475,8",2014
Västerhöjd enhet 2,77544055,Skövde,1496,2120001710,Skövde,Kommunal,"18,6",.,"18,6","64,4","82,8","5,4","17,7","0,6","578,9",2014
Västerhöjd enhet 3,49112879,Skövde,1496,2120001710,Skövde,Kommunal,"19,8","1,0","18,8","43,4","72,9","2,0","9,3",.,.,2014
Västerhöjd enhet 4,30279258,Skövde,1496,2120001710,Skövde,Kommunal,"24,1",.,"24,1","63,9","91,7","2,3","13,3","0,3","944,1",2014
Smeden,12496135,Smedjebacken,2061,2220000802,Smedjebacken,Kommunal,"9,3","0,5","8,8","48,3","73,9",.,"9,0","0,5","158,0",2014
Stegelbacken,29220606,Smedjebacken,2061,2220000802,Smedjebacken,Kommunal,"16,3","0,5","15,8","38,3","62,1","12,6","9,2","0,5","290,0",2014
Sollefteå gymnasium,90550365,Sollefteå,2283,2120002437,Sollefteå,Kommunal,"67,1","1,0","66,1","44,3","72,5","3,0","9,2","1,6","383,5",2014
Consensum Sollentuna,68649663,Sollentuna,0163,5566023684,Consensum Lund AB,Enskild,"11,9","1,0","10,9","58,3","85,3",.,"9,8",.,.,2014
Häggviks Gymnasium Gymnasieskola,43623146,Sollentuna,0163,5564715729,Utvecklingspedagogik Sverige AB,Enskild,"2,9","0,2","2,7","88,7","98,1","26,3","5,3",.,.,2014
"Mikael Elias Gymnasium, Sollentuna",49141105,Sollentuna,0163,5565583282,Mikael Elias Gymnasium AB,Enskild,"14,1","1,0","13,1","52,7","79,0","3,1","18,0","0,2","1 180,0",2014
NTI-gymnasiet Sollentuna,15870428,Sollentuna,0163,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"13,7","0,7","13,0","44,6","75,4",.,"15,5","0,3","594,1",2014
Rudbecksskolan,61394069,Sollentuna,0163,2120000134,Sollentuna,Kommunal,"140,4","6,5","133,9","58,8","85,8","0,7","14,2","7,4","257,4",2014
Yrkesgymnasiet Sollentuna,81997762,Sollentuna,0163,5566139290,ThorenGruppen AB,Enskild,"14,2","1,0","13,2","33,3","42,4","7,6","15,1","0,4","497,5",2014
"Ingridskolan, gymnasiet",28967085,Solna,0184,5566222013,Ingridskolan AB,Enskild,"6,4","0,4","6,0","48,9","77,9","2,2","7,3","0,3","176,0",2014
Nackademins Näringslivsgymnasium Solna,23821753,Solna,0184,5566166475,Nackademin AB,Enskild,"3,1","0,8","2,3","51,1","100,0",.,.,.,.,2014
Peabskolan Solna,70119254,Solna,0184,5564427432,Peabskolan AB,Enskild,"7,2","0,3","7,0","34,5","74,8",.,"12,7",.,.,2014
Psykologigymnasiet,31151740,Solna,0184,5567295885,Psykologigymnasiet Sverige AB,Enskild,"7,6","0,5","7,1","75,1","82,4","2,8","15,0","0,3","428,0",2014
Solna Gymnasium,79346084,Solna,0184,2120000183,Solna,Kommunal,"47,9",.,"47,9","48,8","84,2",.,"14,3","2,0","342,5",2014
Sorsele gymnasieskola,98927766,Sorsele,2422,2120002585,Sorsele,Kommunal,"4,4","0,3","4,2","70,4","100,0",.,"9,1","0,4","95,0",2014
Gymnasieutb. i Staffanstorp,43827700,Staffanstorp,1230,2120001017,Staffanstorp,Kommunal,"4,6","1,0","3,6","74,6","100,0",.,"7,9","1,0","28,0",2014
Hvilan Utbildning,34222422,Staffanstorp,1230,5566066980,Hvilan Utbildning AB,Enskild,"6,7","0,4","6,3","56,1","46,3",.,"11,0","0,3","265,4",2014
"Munkeröds utb.c., Stenungsund",84230226,Stenungsund,1415,5562067495,Munkeröds Utbildningscenter AB,Enskild,"2,3",.,"2,3","30,4","69,6","4,3","4,8",.,.,2014
Nösnäsgymnasiet 1,42060237,Stenungsund,1415,2120001298,Stenungsund,Kommunal,"26,2","0,9","25,4","63,8","91,0","9,6","10,8","0,9","305,6",2014
Nösnäsgymnasiet 2,89816391,Stenungsund,1415,2120001298,Stenungsund,Kommunal,"19,3","0,4","18,9","27,8","77,8","2,1","8,5","0,6","290,9",2014
Nösnäsgymnasiet 3,14448619,Stenungsund,1415,2120001298,Stenungsund,Kommunal,"30,1","1,0","29,1","36,9","82,5","2,2","11,7","0,9","402,4",2014
Nösnäsgymnasiet 4,12546590,Stenungsund,1415,2120001298,Stenungsund,Kommunal,"22,5","1,0","21,5","53,6","92,6","2,4","12,8","0,8","366,7",2014
Atleticagymnasiet,43565270,Stockholm,0180,5567799035,Atleticagymnasiet AB,Enskild,"23,0","1,0","22,0","38,4","74,6",.,"16,8",.,.,2014
Bernadottegymnasiet 77176811,77176811,Stockholm,0180,2120000142,Stockholm,Kommunal,"16,2","1,0","15,2","42,9","93,4","6,6","19,9",.,.,2014
Blackebergs gymnasium 52791537,52791537,Stockholm,0180,2120000142,Stockholm,Kommunal,"20,6","1,0","19,6","43,7","100,0",.,"16,8",.,.,2014
Blackebergs gymnasium 85152591,85152591,Stockholm,0180,2120000142,Stockholm,Kommunal,"21,6","1,0","20,6","62,5","86,7","4,8","20,6",.,.,2014
Blackebergs gymnasium 85819857,85819857,Stockholm,0180,2120000142,Stockholm,Kommunal,"19,9","1,0","18,9","64,6","91,0",.,"20,9","1,9","206,3",2014
Bromma gymnasium 40600798,40600798,Stockholm,0180,2120000142,Stockholm,Kommunal,"18,7","1,0","17,7","42,0","84,3",.,"21,5",.,.,2014
Bromma gymnasium 52942981,52942981,Stockholm,0180,2120000142,Stockholm,Kommunal,"19,9","1,0","18,9","58,4","78,6","5,3","17,1","2,0","162,0",2014
Bromma gymnasium 54117171,54117171,Stockholm,0180,2120000142,Stockholm,Kommunal,"21,9","1,0","20,9","45,5","72,4","4,8","16,5",.,.,2014
Carlgrenska Waldorfgymnasiet,33233228,Stockholm,0180,8024530647,Stockholms Fria Waldorfgymnasium,Enskild,"2,4","0,7","1,8","49,1","29,1",.,"8,0",.,.,2014
Cybergymnasiet Odenplan Norr,94167577,Stockholm,0180,5565547964,Cybergymnasiet Nacka AB,Enskild,"54,4","1,0","53,4","60,3","81,7","0,4","14,9","1,0","794,0",2014
Design & Construction College Stockholm,27023528,Stockholm,0180,5560440017,Hermods AB,Enskild,"14,4","1,0","13,4","44,8","71,6",.,"17,2",.,.,2014
Didaktus Liljeholmen,53903798,Stockholm,0180,5564732856,Didaktus Skolor AB,Enskild,"44,5","1,0","43,5","57,6","83,6","6,9","13,2","0,8","718,8",2014
Distra Bygg Gymnasium Sthlm,85782695,Stockholm,0180,5566064209,Distra Utbildnings Center AB,Enskild,"11,9","1,0","10,9","31,2","40,4",.,"11,0","0,2","600,0",2014
Djurgymnasiet Stockholm,98815582,Stockholm,0180,5566205455,Animallogos AB,Enskild,"21,7","1,0","20,7","75,5","87,9","4,8","12,8",.,.,2014
Drottning Blankas Gymnasieskola Stockholm,97770837,Stockholm,0180,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"13,2","1,0","12,2","54,9","78,3",.,"16,4",.,.,2014
Elektrikergymnasiet,21312503,Stockholm,0180,5566814801,Stockholms El-Utbildning AB,Enskild,"11,4","0,2","11,2","32,3","65,0",.,"14,6",.,.,2014
"Ellen Key skolan, gy",50883579,Stockholm,0180,8152007970,Stiftelsen Ellen Keyskolan,Enskild,"0,3",.,"0,3","50,0","33,3",.,"10,0",.,.,2014
