skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_exl_tcv110,skolverket_andel_elever_exl_tcv110,skolverket_and_uppn_alla_amnen_exl_tcv110,skolverket_and_behorig_yrkes_exl_tcv110,skolverket_gmv_exl_tcv110,skolverket_antal_elever_nyinv_tcv110,skolverket_andel_elever_nyinv_tcv110,skolverket_and_uppn_alla_amnen_nyinv_tcv110,skolverket_and_behorig_yrkes_nyinv_tcv110,skolverket_gmv_nyinv_tcv110,year
Huddinge,Östra grundskolan,Kommunal,Huddinge,39229061,..,..,"81,4","86,6","226,6",..,..,..,..,..,2014
Huddinge,Södertörns friskola,Enskild,Södertörns Friskola Ek. För.,22019000,106,"100,0","85,8","95,3","238,8",.,.,.,.,.,2014
Hudiksvall,Glada Hudikskolan,Enskild,Hudik Friskoleutbildning AB,63507156,43,"100,0","60,5",~100,"202,0",.,.,.,.,.,2014
Hudiksvall,Ede skola,Kommunal,Hudiksvall,83627088,..,..,"79,2","89,6","217,8",..,..,.,.,..,2014
Hudiksvall,Iggesunds skola,Kommunal,Hudiksvall,80631297,..,..,"71,1","86,7","211,0",..,..,.,.,..,2014
Hudiksvall,Läroverket,Kommunal,Hudiksvall,23786565,135,"93,1","73,3","86,7","210,1",10,"6,9",..,..,"130,5",2014
Hudiksvall,Östra skolan,Kommunal,Hudiksvall,50190330,..,..,"73,5","83,2","194,7",..,..,.,..,..,2014
Hultsfred,Albäcksskolan 1,Kommunal,Hultsfred,77239653,..,..,"84,8","86,9","216,7",..,..,..,..,..,2014
Hultsfred,Prolympia Virserum,Enskild,Nya Centralskolan i Virserum AB,12289594,18,"100,0","77,8",~100,"210,4",.,.,.,.,.,2014
Hylte,Örnaskolan 2,Kommunal,Hylte,74001260,..,..,"76,3","92,1","221,7",..,..,..,..,..,2014
Hylte,Örnaskolan 3,Kommunal,Hylte,80477825,..,..,"95,2","100,0","221,0",..,..,..,..,..,2014
Hylte,Labora Grundskola,Enskild,Laboraskolan AB,48694604,..,..,..,..,..,..,..,.,.,.,2014
Håbo,Futurum,Kommunal,Håbo,64305292,76,"100,0","78,9",~100,"213,0",.,.,.,.,.,2014
Håbo,Gransäterskolan,Kommunal,Håbo,90826660,49,"100,0","55,1","89,8","180,4",.,.,.,.,.,2014
Håbo,Resursskolan,Kommunal,Håbo,44553894,..,..,.,..,..,..,..,.,.,.,2014
Håbo,Västerängsskolan,Kommunal,Håbo,29299366,..,..,"77,8","100,0","228,1",..,..,..,..,..,2014
Håbo,Läraskolan,Enskild,Läraskolan i Bålsta AB,28306495,20,"100,0","90,0","100,0","224,4",.,.,.,.,.,2014
Håbo,Potentia Education,Enskild,Potentia Education AB,15081255,24,"100,0","95,8","100,0","248,4",.,.,.,.,.,2014
Hällefors,Klockarhagsskolan,Kommunal,Hällefors,38657898,..,..,"64,8","80,3","194,2",..,..,..,..,..,2014
Härjedalen,Funäsdalens skola,Kommunal,Härjedalen,72295998,15,"100,0","93,3",~100,"218,2",.,.,.,.,.,2014
Härjedalen,Sonfjällsskolan,Kommunal,Härjedalen,85325551,..,..,"80,8",~100,"228,1",..,..,.,.,..,2014
Härjedalen,Södra Skolan,Kommunal,Härjedalen,79022806,..,..,"71,8","84,6","206,5",..,..,..,..,..,2014
Härjedalen,Ytterhogdals Centralskola,Kommunal,Härjedalen,92387607,..,..,..,..,..,..,..,.,.,.,2014
Härnösand,Gerestaskolan åk 4-9,Kommunal,Härnösand,71734314,..,..,"89,5",~100,"217,2",..,..,.,.,..,2014
Härnösand,Kiörningskolan,Kommunal,Härnösand,13510547,..,..,"86,0","88,0","207,7",..,..,..,..,..,2014
Härnösand,Landgrenskolan,Kommunal,Härnösand,19405413,78,"100,0","78,2","85,9","199,9",.,.,.,.,.,2014
Härnösand,Murbergsskolan,Kommunal,Härnösand,93068004,..,..,"82,5",~100,"222,5",..,..,..,..,..,2014
Härnösand,Kastellskolan,Enskild,Kastellskolan,69454219,..,..,..,..,..,..,..,.,.,.,2014
Härryda,Pixbo Montessoriskola,Enskild,AB Pixbo Montessoriskola,54688919,10,"100,0",..,"100,0","235,0",.,.,.,.,.,2014
Härryda,"Fridaskolan, Härryda",Enskild,Fridaskolorna AB,27274628,70,"100,0","97,1",~100,"260,7",.,.,.,.,.,2014
Härryda,Båtsmansskolan,Kommunal,Härryda,37772170,60,"100,0","93,3",~100,"242,2",.,.,.,.,.,2014
Härryda,Djupedalskolan,Kommunal,Härryda,91978548,39,"100,0","79,5",~100,"213,5",.,.,.,.,.,2014
Härryda,Ekdalaskolan,Kommunal,Härryda,17730768,..,..,"87,9",~100,"234,7",..,..,.,.,..,2014
Härryda,Landvetterskolan 1,Kommunal,Härryda,98934110,..,..,"90,7",~100,"230,7",..,..,.,..,..,2014
Härryda,Rävlandaskolan,Kommunal,Härryda,34127854,..,..,"73,9","89,1","212,0",..,..,.,.,..,2014
Härryda,Önnerödsskolan,Kommunal,Härryda,28698437,64,"100,0","92,2","100,0","232,0",.,.,.,.,.,2014
Hässleholm,Bjärnums skola 4-9,Kommunal,Hässleholm,83878055,..,..,"79,5",~100,"203,0",..,..,..,..,..,2014
Hässleholm,Furutorpskolan 7-9,Kommunal,Hässleholm,78602001,..,..,"71,4","87,1","197,9",..,..,.,.,..,2014
Hässleholm,Hästveda skola 4-9,Kommunal,Hässleholm,50909158,..,..,"90,6",~100,"231,5",..,..,.,.,..,2014
Hässleholm,Linné 7-9,Kommunal,Hässleholm,84432632,..,..,"73,5","75,5","188,1",..,..,..,..,..,2014
Hässleholm,Läredaskolan 7-9,Kommunal,Hässleholm,29689372,..,..,"87,1","88,6","223,1",..,..,.,.,..,2014
Hässleholm,Silviaskolan 1-9,Kommunal,Hässleholm,65408331,..,..,..,..,..,..,..,.,.,.,2014
Hässleholm,T4 skolan Grundsärskola,Kommunal,Hässleholm,31764864,..,..,.,.,..,..,..,.,.,.,2014
Hässleholm,T4-skolan F-9,Kommunal,Hässleholm,76278008,..,..,"80,5","82,9","199,2",..,..,.,..,..,2014
Hässleholm,T4-skolan Montessori 1-9,Kommunal,Hässleholm,28804882,19,"100,0","94,7","100,0","223,0",.,.,.,.,.,2014
Hässleholm,Tyringe skola 7-9,Kommunal,Hässleholm,98064311,79,"100,0","82,3","91,1","209,0",.,.,.,.,.,2014
Hässleholm,Vannarödsskolan 6-9,Kommunal,Hässleholm,93845278,52,"100,0","73,1","82,7","202,7",.,.,.,.,.,2014
Hässleholm,Västerskolan 7-9,Kommunal,Hässleholm,91571086,..,..,"55,9","78,0","193,7",..,..,.,.,..,2014
Höganäs,Brunnbyskolan,Enskild,Brunnby Skola M-I HB,95113658,13,"100,0","92,3",~100,"255,0",.,.,.,.,.,2014
Höganäs,Bruksskolan,Kommunal,Höganäs,95635160,31,"100,0","87,1",~100,"213,4",.,.,.,.,.,2014
Höganäs,Jonstorpsskolan,Kommunal,Höganäs,27665244,44,"100,0","88,6",~100,"207,8",.,.,.,.,.,2014
Höganäs,Lerbergsskolan,Kommunal,Höganäs,26702041,42,"100,0","88,1",~100,"240,8",.,.,.,.,.,2014
Höganäs,Nyhamnsskolan,Kommunal,Höganäs,28226699,40,"100,0","92,5",~100,"239,1",.,.,.,.,.,2014
Höganäs,Tornlyckeskolan,Kommunal,Höganäs,75919914,..,..,"60,0","74,3","202,1",..,..,..,..,..,2014
Höganäs,Vikenskolan,Kommunal,Höganäs,99439224,43,"100,0","90,7","100,0","234,0",.,.,.,.,.,2014
Höganäs,Montessoriskolan Tellus,Enskild,Montessoriskolan i Höganäs AB,69182531,..,..,..,..,..,..,..,.,.,.,2014
Höganäs,"PeterSvenskolan, Höganäs",Enskild,Pysslingen Förskolor och Skolor AB,40689020,18,"100,0","77,8",~100,"205,4",.,.,.,.,.,2014
Högsby,Fröviskolan,Kommunal,Högsby,26879428,..,..,"79,1","83,6","212,2",..,..,..,..,..,2014
Hörby,Frostaskolan 7-9,Kommunal,Hörby,38299211,..,..,"71,4","90,9","207,5",..,..,.,.,..,2014
Hörby,Georgshillsskolan 4-9,Kommunal,Hörby,90834434,..,..,"71,4","85,7","197,2",..,..,.,.,..,2014
Hörby,Ludvigsborgs friskola,Enskild,"Ludvigsborgs Fristående Skola, Ek. För.",52665905,..,..,..,..,..,..,..,.,.,.,2014
Hörby,Pilevallens skola,Enskild,Pilevallens Vård och Behandling AB,93569920,..,..,..,..,..,..,..,.,.,.,2014
Höör,Emiliaskolan Höörs waldorfsk.,Enskild,Föreningen Emiliaskolan,63846783,17,"100,0","76,5",~100,"224,3",.,.,.,.,.,2014
Höör,Ringsjöskolan,Kommunal,Höör,82942801,..,..,"70,9","87,3","205,1",..,..,..,..,..,2014
Höör,Sätoftaskolan,Kommunal,Höör,35670754,57,"100,0","73,7","86,0","207,9",.,.,.,.,.,2014
Höör,Segrande Liv Grundskola,Enskild,Segrande Liv  Grundskola,95024923,..,..,..,..,..,..,..,.,.,.,2014
Jokkmokk,Östra skolan,Kommunal,Jokkmokk,86851817,..,..,"76,9",~100,"219,9",..,..,..,..,..,2014
Jokkmokk,Vuollerims Friskola,Enskild,Vuollerims Friskola AB,33468088,14,"100,0","78,6",~100,"215,0",.,.,.,.,.,2014
Järfälla,Engelska Skolan i Järfälla,Enskild,Internationella Engelska Skolan i Sverige AB,79093755,120,"100,0","94,2",~100,"246,9",.,.,.,.,.,2014
Järfälla,Björkebyskolan,Kommunal,Järfälla,40847752,..,..,"75,9","87,3","209,9",..,..,..,..,..,2014
Järfälla,Fjällenskolan,Kommunal,Järfälla,15080815,..,..,"69,7","90,8","213,9",..,..,..,..,..,2014
Järfälla,Källtorpskolan,Kommunal,Järfälla,17287315,..,..,"79,2","91,1","212,5",..,..,..,..,..,2014
Järfälla,Tallbohovskolan,Kommunal,Järfälla,97777849,57,"82,6","54,4","73,7","195,9",12,"17,4",..,..,"110,5",2014
Järfälla,Viksjöskolan,Kommunal,Järfälla,98925408,..,..,"78,2","89,9","219,4",..,..,..,..,..,2014
Järfälla,Vittra Jakobsberg,Enskild,Vittraskolorna AB,66634449,43,"100,0","83,7",~100,"235,9",.,.,.,.,.,2014
Jönköping,Grennaskolan GR,Enskild,Grennaskolan Riksinternat AB,66533280,..,..,"95,7","100,0","250,8",..,..,.,..,..,2014
Jönköping,Engelska Skolan i Jönköping,Enskild,Internationella Engelska Skolan i Sverige AB,86499334,117,"100,0","81,2","94,0","238,3",.,.,.,.,.,2014
Jönköping,Magnus Ladulås skola grund,Enskild,J-Son Pedagogikcentrum AB,17890412,..,..,.,..,..,..,..,.,.,.,2014
Jönköping,Alfred Dalinskolan,Kommunal,Jönköping,85416841,166,"100,0","62,7","76,5","191,3",.,.,.,.,.,2014
Jönköping,Attarpsskolan 6-9,Kommunal,Jönköping,40546319,..,..,"94,3",~100,"229,3",..,..,..,..,..,2014
Jönköping,Flahultsskolan,Kommunal,Jönköping,28849109,131,"100,0","80,2","88,5","211,0",.,.,.,.,.,2014
Jönköping,Herrgårdsskolan,Kommunal,Jönköping,92212933,..,..,..,..,..,..,..,.,.,.,2014
Jönköping,Junedalsskolan,Kommunal,Jönköping,20696736,258,"100,0","86,4","92,6","225,6",.,.,.,.,.,2014
Jönköping,Ljungarumsskolan,Kommunal,Jönköping,40224836,..,..,"71,1","81,3","203,3",..,..,..,..,..,2014
Jönköping,Ribbaskolan,Kommunal,Jönköping,83919671,..,..,"81,3","89,3","223,4",..,..,..,..,..,2014
Jönköping,Rosenlundsskolan 7-9,Kommunal,Jönköping,96558008,117,"84,8","61,5","76,1","192,7",21,"15,2",.,..,"65,8",2014
Jönköping,Sanda idrottshögstadium,Kommunal,Jönköping,98088982,75,"100,0","88,0",~100,"233,6",.,.,.,.,.,2014
Jönköping,Stadsgårdsskolan,Kommunal,Jönköping,12759583,85,"100,0","65,9","88,2","201,8",.,.,.,.,.,2014
Jönköping,Strandskolan,Enskild,Jönköpings Kristna Skolförening,23250615,..,..,"81,3",~100,"204,4",..,..,.,.,..,2014
Jönköping,Kunskapsskolan Jönköping,Enskild,Kunskapsskolan i Sverige AB,86562542,24,"100,0","62,5",~100,"227,2",.,.,.,.,.,2014
Jönköping,Bergaskolan,Enskild,Magelungen Utveckling AB,79427132,..,..,.,..,..,..,..,.,.,.,2014
Jönköping,"Prolympia, Jönköping",Enskild,Prolympia AB,95673344,..,..,"82,6","88,4","221,6",..,..,..,..,..,2014
Kalix,Manhemsskolan,Kommunal,Kalix,10617819,..,..,"81,7","89,0","210,1",..,..,.,..,..,2014
Kalix,Norrskenets Friskola i Kalix,Enskild,Pysslingen Förskolor och Skolor AB,20525218,..,..,..,..,..,..,..,.,.,.,2014
Kalmar,Barkestorpsskolan,Kommunal,Kalmar,58215076,..,..,"72,5","76,5","208,0",..,..,..,..,..,2014
Kalmar,Falkenbergsskolan,Kommunal,Kalmar,99856371,71,"100,0","87,3",~100,"220,2",.,.,.,.,.,2014
Kalmar,Kalmarsundsskolan,Kommunal,Kalmar,24092221,61,"82,4","83,6","91,8","222,8",13,"17,6",..,..,"57,5",2014
Kalmar,Lindsdalsskolorna,Kommunal,Kalmar,51848797,102,"100,0","88,2","94,1","211,8",.,.,.,.,.,2014
Kalmar,Södermöreskolan,Kommunal,Kalmar,79012102,68,"100,0","85,3","91,2","202,8",.,.,.,.,.,2014
Kalmar,Vasa skolområde,Kommunal,Kalmar,51627420,35,"100,0","88,6","100,0","206,5",.,.,.,.,.,2014
Kalmar,Östra Funkaboskolan,Kommunal,Kalmar,12852899,99,"100,0","75,8","87,9","207,8",.,.,.,.,.,2014
Kalmar,Solhagaskolan,Enskild,Solängsskolan i Hammenhög AB,87544967,..,..,.,..,..,..,..,.,.,.,2014
Kalmar,Kalmar waldorfskola,Enskild,Stiftelsen Kalmar Waldorfskola,16517618,19,"100,0","52,6","73,7","203,3",.,.,.,.,.,2014
Kalmar,Södra skolan,Enskild,Södra Skolan i Kalmar AB,13936858,69,"100,0","95,7",~100,"238,2",.,.,.,.,.,2014
Karlsborg,Carl Johanskolan,Kommunal,Karlsborg,34231336,61,"100,0","91,8",~100,"213,2",.,.,.,.,.,2014
Karlshamn,Waldorfskolan i Karlshamn,Enskild,Daggkåpan Ek. För. i Karlshamn,22909101,10,"100,0",..,"100,0","247,3",.,.,.,.,.,2014
Karlshamn,Karl-Oskarskolan i Karlshamn,Enskild,Karl-Oskar Utbildning AB,16249641,27,"100,0","74,1",~100,"213,7",.,.,.,.,.,2014
Karlshamn,Norrevångskolan,Kommunal,Karlshamn,89878714,..,..,"70,4","85,2","208,9",..,..,.,..,..,2014
Karlshamn,Stenbackaskolan,Kommunal,Karlshamn,16767324,96,"100,0","80,2","92,7","215,5",.,.,.,.,.,2014
Karlshamn,Österslättsskolan A,Kommunal,Karlshamn,72744832,..,..,"65,1","88,9","207,6",..,..,.,..,..,2014
Karlshamn,Österslättsskolan B,Kommunal,Karlshamn,56399024,..,..,"74,6","88,7","206,8",..,..,.,.,..,2014
Karlskoga,Bregårdsskolan åk 7-9,Kommunal,Karlskoga,71762216,..,..,"80,4","88,8","208,2",..,..,..,..,..,2014
Karlskoga,Skranta skola,Kommunal,Karlskoga,65654358,117,"89,3","76,9","86,3","216,8",14,"10,7",.,..,"57,1",2014
Karlskoga,Österledskolan,Kommunal,Karlskoga,34767418,..,..,"63,1","82,1","198,1",..,..,..,..,..,2014
Karlskrona,Galären Dator o Teknik,Enskild,AcadeMedia fria grundskolor AB,64959079,18,"100,0","66,7","100,0","211,1",.,.,.,.,.,2014
Karlskrona,"Galären, grundskola",Enskild,AcadeMedia fria grundskolor AB,10662754,33,"100,0","78,8",~100,"219,4",.,.,.,.,.,2014
Karlskrona,Galären Hälsa och Idrott,Enskild,AcadeMedia fria grundskolor AB,66984600,41,"100,0","80,5",~100,"220,9",.,.,.,.,.,2014
Karlskrona,Piggelinen,Enskild,Friskolan PANEA AB,99469094,26,"100,0","88,5",~100,"213,3",.,.,.,.,.,2014
Karlskrona,Friskolan Svettpärlan,Enskild,Friskolan Svettpärlan AB,93964634,25,"100,0","100,0","100,0","216,0",.,.,.,.,.,2014
Karlskrona,Jändelskolan 7-9,Kommunal,Karlskrona,20104552,74,"100,0","81,1","86,5","210,0",.,.,.,.,.,2014
Karlskrona,Nättrabyskolan 7-9,Kommunal,Karlskrona,26209081,..,..,"85,7",~100,"227,1",..,..,.,.,..,2014
Karlskrona,Rosenholmskolan Sport College 7-9,Kommunal,Karlskrona,89523926,49,"100,0","100,0","100,0","235,3",.,.,.,.,.,2014
Karlskrona,Rödebyskolan 7-9,Kommunal,Karlskrona,32421136,..,..,"72,1","82,6","195,5",..,..,..,..,..,2014
Karlskrona,Sunnadalskolan 7-9,Kommunal,Karlskrona,68263602,..,..,"50,0","56,3","167,8",..,..,..,..,..,2014
Karlskrona,Vedebyskolan 7-9,Kommunal,Karlskrona,55709634,..,..,"68,6","78,6","194,5",..,..,..,..,..,2014
Karlskrona,Wämöskolan 7-9,Kommunal,Karlskrona,63323984,..,..,"84,9","90,7","225,5",..,..,..,..,..,2014
Karlskrona,Karlskrona Montessorifriskola,Enskild,Karlskrona Montessorifriskola AB,67509465,21,"100,0","100,0","100,0","249,9",.,.,.,.,.,2014
Karlskrona,Musikugglan,Enskild,Tant Grön AB,93919365,27,"100,0","85,2",~100,"232,2",.,.,.,.,.,2014
Karlstad,Engelska Skolan i Karlstad,Enskild,Internationella Engelska Skolan i Sverige AB,93730568,..,..,"96,4",~100,"246,5",..,..,..,..,..,2014
Karlstad,Frödingskolan 7-9,Kommunal,Karlstad,29058107,..,..,"60,4","71,7","180,8",..,..,..,..,..,2014
Karlstad,Hultsbergsskolan 6-9,Kommunal,Karlstad,99406709,58,"100,0","86,2",~100,"224,0",.,.,.,.,.,2014
Karlstad,Ilandaskolan,Kommunal,Karlstad,27418903,123,"100,0","91,1",~100,"216,4",.,.,.,.,.,2014
Karlstad,Mariebergsskolan,Kommunal,Karlstad,81424988,..,..,"62,5","80,7","182,8",..,..,.,.,..,2014
Karlstad,Norrstrandsskolan Terra Ignis,Kommunal,Karlstad,83999935,..,..,"89,2",~100,"217,0",..,..,.,..,..,2014
Karlstad,Norrstrandsskolan Ventus Aqua,Kommunal,Karlstad,57635312,75,"100,0","86,7",~100,"224,0",.,.,.,.,.,2014
Karlstad,Nyeds skola 4-9,Kommunal,Karlstad,32255602,35,"100,0","65,7","74,3","206,2",.,.,.,.,.,2014
Karlstad,Rudsskolan Atl/Dan,Kommunal,Karlstad,85833115,..,..,"92,7",~100,"230,6",..,..,..,..,..,2014
Karlstad,Rudsskolan Oceania,Kommunal,Karlstad,91487596,..,..,"85,5","90,4","213,9",..,..,.,..,..,2014
Karlstad,Vålbergsskolan 4-9,Kommunal,Karlstad,80659104,50,"100,0","80,0","88,0","204,8",.,.,.,.,.,2014
Katrineholm,Floda friskola,Enskild,Flodabygdens Friskoleförening,42354333,31,"100,0","64,5","67,7","188,7",.,.,.,.,.,2014
Katrineholm,Nyhemsskolan 7-9,Kommunal,Katrineholm,19216121,..,..,"53,6","64,3","189,4",..,..,.,..,..,2014
Katrineholm,Södra skolan,Kommunal,Katrineholm,43723580,..,..,"63,8","84,1","198,4",..,..,.,.,..,2014
Katrineholm,Tallåsskolan,Kommunal,Katrineholm,14164796,99,"88,4","77,8","87,9","216,1",13,"11,6",.,..,"65,2",2014
Katrineholm,Kunskapsskolan Katrineholm,Enskild,Kunskapsskolan i Sverige AB,16603772,25,"100,0","76,0",~100,"204,0",.,.,.,.,.,2014
Kil,Sannerudsskolan 7-9,Kommunal,Kil,17665080,..,..,"66,2","85,7","200,4",..,..,..,..,..,2014
Kinda,Värgårdsskolan,Kommunal,Kinda,75296593,92,"100,0","87,0","92,4","204,8",.,.,.,.,.,2014
Kiruna,Abisko skolan,Kommunal,Kiruna,76026322,..,..,.,.,..,..,..,.,.,.,2014
Kiruna,Högalidskolan 7-9,Kommunal,Kiruna,80693905,97,"100,0","77,3","82,5","211,2",.,.,.,.,.,2014
Kiruna,Karesuando skola,Kommunal,Kiruna,79467784,18,"100,0","88,9",~100,"216,4",.,.,.,.,.,2014
Kiruna,Raketskolan 6-9,Kommunal,Kiruna,43351950,80,"100,0","82,5","88,8","216,1",.,.,.,.,.,2014
Kiruna,Språkcentrum,Kommunal,Kiruna,77403120,..,..,.,.,..,..,..,.,.,..,2014
Kiruna,Svappavaara skola,Kommunal,Kiruna,21462543,..,..,..,..,..,..,..,.,.,.,2014
Kiruna,Triangelskolan,Kommunal,Kiruna,14938538,23,"100,0","87,0",~100,"234,8",.,.,.,.,.,2014
Kiruna,Vittangi skola,Kommunal,Kiruna,76314428,12,"100,0",..,..,"202,1",.,.,.,.,.,2014
Kiruna,Friluftsskolan Vargen,Enskild,Vargen i Kiruna AB,73281949,22,"100,0","100,0","100,0","252,4",.,.,.,.,.,2014
Klippan,Ljungbyhedsskolan 1,Kommunal,Klippan,75091646,52,"100,0","80,8","84,6","206,9",.,.,.,.,.,2014
Klippan,Snyggatorpsskolan 2,Kommunal,Klippan,71644999,..,..,"76,5","82,7","206,4",..,..,.,..,..,2014
Klippan,"PeterSvenskolan, Klippan",Enskild,Pysslingen Förskolor och Skolor AB,39391255,..,..,..,..,..,..,..,.,.,.,2014
Knivsta,Alsike skola,Kommunal,Knivsta,49742321,27,"100,0","96,3","100,0","228,8",.,.,.,.,.,2014
Knivsta,Thunmanskolan,Kommunal,Knivsta,92364234,93,"100,0","83,9","88,2","219,7",.,.,.,.,.,2014
Knivsta,Margarethaskolan,Enskild,Knivsta Friskola Ek. För.,51867275,13,"100,0","76,9",~100,"237,5",.,.,.,.,.,2014
Kramfors,Gudmundråskolan,Kommunal,Kramfors,11159060,..,..,"75,6","82,2","206,9",..,..,..,..,..,2014
Kramfors,Högakustenskolan,Kommunal,Kramfors,75515918,..,..,"87,5",~100,"235,8",..,..,..,..,..,2014
Kramfors,Ytterlännässkolan,Kommunal,Kramfors,30403490,54,"100,0","70,4","81,5","205,0",.,.,.,.,.,2014
Kristianstad,Antonskolan,Enskild,Antonskolan Blekedamm AB,14555807,21,"100,0","90,5",~100,"211,2",.,.,.,.,.,2014
Kristianstad,Antonskolan Österäng,Enskild,Antonskolan Österäng AB,57538739,17,"100,0","76,5",~100,"194,4",.,.,.,.,.,2014
Kristianstad,Axonaskolan i Tollarp,Enskild,Axona Dendron AB,81452013,..,..,..,..,..,..,..,.,.,.,2014
Kristianstad,Degebergaskolan,Kommunal,Kristianstad,54930405,47,"100,0","93,6",~100,"224,7",.,.,.,.,.,2014
Kristianstad,Fjälkinge skola MH,Kommunal,Kristianstad,13867770,40,"100,0","82,5",~100,"217,1",.,.,.,.,.,2014
Kristianstad,Fröknegårdskolan H1,Kommunal,Kristianstad,80871896,61,"82,4","67,2","82,0","210,0",13,"17,6",.,..,"83,6",2014
Kristianstad,Fröknegårdskolan H2,Kommunal,Kristianstad,97438636,..,..,"60,0","81,8","216,2",..,..,..,..,..,2014
Kristianstad,Norretullskolan,Kommunal,Kristianstad,59782586,..,..,"71,0","79,0","192,7",..,..,.,.,..,2014
Kristianstad,Nosabyskolan,Kommunal,Kristianstad,69725960,..,..,"74,3","82,4","220,6",..,..,.,.,..,2014
Kristianstad,Rönnowskolan H,Kommunal,Kristianstad,13756290,..,..,"88,0",~100,"236,2",..,..,..,..,..,2014
Kristianstad,Slättängsskolan H,Kommunal,Kristianstad,63356940,..,..,"71,4","88,9","206,5",..,..,..,..,..,2014
Kristianstad,Spängerskolan,Kommunal,Kristianstad,64694970,21,"100,0","66,7","76,2","206,8",.,.,.,.,.,2014
Kristianstad,Sånnaskolan H,Kommunal,Kristianstad,85853304,..,..,"88,3",~100,"219,5",..,..,.,.,..,2014
Kristianstad,Tollarps skola MH,Kommunal,Kristianstad,45430802,..,..,"81,6",~100,"210,2",..,..,.,.,..,2014
Kristianstad,Väskolan MH,Kommunal,Kristianstad,75922665,44,"100,0","79,5","86,4","206,9",.,.,.,.,.,2014
Kristianstad,Öllsjöskolan H,Kommunal,Kristianstad,46211392,55,"100,0","85,5","100,0","221,9",.,.,.,.,.,2014
Kristianstad,Önnestads skola H,Kommunal,Kristianstad,18636287,40,"100,0","70,0","75,0","212,3",.,.,.,.,.,2014
Kristianstad,Lejonskolan,Enskild,Lejonskolan AB,26843745,16,"100,0","68,8",~100,"168,8",.,.,.,.,.,2014
Kristianstad,Kristianstads Montessoriskola,Enskild,Pysslingen Förskolor och Skolor AB,72491525,27,"100,0","96,3","100,0","242,4",.,.,.,.,.,2014
Kristinehamn,Djurgårdsskolan 7-9,Kommunal,Kristinehamn,41433169,..,..,"76,5","80,0","201,0",..,..,..,..,..,2014
Kristinehamn,Stenstalidskolan 7-9,Kommunal,Kristinehamn,14885908,..,..,"80,0","90,7","201,2",..,..,.,.,..,2014
Kristinehamn,Södermalmsskolan 7-9,Kommunal,Kristinehamn,16272625,..,..,"75,3","90,1","215,3",..,..,.,.,..,2014
Krokom,Cederbergskolan,Kommunal,Krokom,64778601,15,"100,0","80,0",~100,"203,5",.,.,.,.,.,2014
Krokom,Nyhedens skola,Kommunal,Krokom,40025257,..,..,"80,3","84,5","207,9",..,..,.,.,..,2014
Krokom,Ås skola 4-9,Kommunal,Krokom,54952732,28,"100,0","96,4",~100,"232,6",.,.,.,.,.,2014
Krokom,Änge skola,Kommunal,Krokom,25036714,30,"100,0","83,3",~100,"208,3",.,.,.,.,.,2014
Kumla,Kumlaby skola 6-9,Kommunal,Kumla,75692870,..,..,"87,7",~100,"215,7",..,..,.,.,..,2014
Kumla,Skogstorpsskolan 6-9,Kommunal,Kumla,44243725,..,..,"84,4","85,6","213,6",..,..,.,..,..,2014
Kumla,Vialundskolan,Kommunal,Kumla,99992013,..,..,"65,2","78,7","202,4",..,..,..,..,..,2014
Kungsbacka,Kullaviks Montessoriskola,Enskild,Kullaviks Montessoriskola Ek. För.,10902849,24,"100,0","100,0","100,0","251,9",.,.,.,.,.,2014
Kungsbacka,Frillesåsskolan 4-9,Kommunal,Kungsbacka,10927868,34,"100,0","88,2",~100,"229,1",.,.,.,.,.,2014
Kungsbacka,Fullriggaren Malevik 4-9,Kommunal,Kungsbacka,33170625,25,"100,0","96,0","100,0","268,8",.,.,.,.,.,2014
Kungsbacka,Hedeskolan 4-9,Kommunal,Kungsbacka,11231816,45,"100,0","97,8","100,0","238,2",.,.,.,.,.,2014
Kungsbacka,Hålabäcksskolan 6-9,Kommunal,Kungsbacka,99688470,..,..,"82,6","84,8","216,7",..,..,..,..,..,2014
Kungsbacka,Kapareskolan A-D,Kommunal,Kungsbacka,28803215,71,"100,0","87,3",~100,"219,2",.,.,.,.,.,2014
Kungsbacka,Kapareskolan E-H,Kommunal,Kungsbacka,84111198,95,"100,0","84,2","92,6","213,1",.,.,.,.,.,2014
Kungsbacka,Kullaviksskolan 7-9,Kommunal,Kungsbacka,75835202,59,"100,0","93,2",~100,"250,9",.,.,.,.,.,2014
Kungsbacka,Kullenskolan,Kommunal,Kungsbacka,77574230,..,..,..,..,..,..,..,.,.,.,2014
Kungsbacka,Smedingeskolan A,Kommunal,Kungsbacka,68861484,..,..,"71,6","81,1","200,4",..,..,..,..,..,2014
Kungsbacka,Särö skola 4-9,Kommunal,Kungsbacka,72090315,..,..,"88,0",~100,"239,1",..,..,..,..,..,2014
Kungsbacka,Toråsskolan 4-9,Kommunal,Kungsbacka,14101582,62,"100,0","95,2",~100,"226,8",.,.,.,.,.,2014
Kungsbacka,Varlaskolan norra,Kommunal,Kungsbacka,37101902,95,"100,0","82,1","93,7","218,9",.,.,.,.,.,2014
Kungsbacka,Varlaskolan södra,Kommunal,Kungsbacka,70143574,..,..,"87,0",~100,"235,2",..,..,..,..,..,2014
