skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_samtl_tcv110,skolverket_and_uppn_alla_amnen_samtl_tcv110,skolverket_and_behorig_yrkes_samtl_tcv110,skolverket_gmv_samtl_tcv110,skolverket_antal_elever_min4ar_tcv110,skolverket_andel_elever_min4ar_tcv110,skolverket_and_uppn_alla_amnen_min4ar_tcv110,skolverket_and_behorig_yrkes_min4ar_tcv110,skolverket_gmv_min4ar_tcv110,year
Mörbylånga,Skansenskolan 4-9,Kommunal,Mörbylånga,39083762,101,"83,2","93,1","215,3",..,..,"85,7",~100,"221,2",2015
Nacka,Engelska Skolan i Nacka,Enskild,Internationella Engelska Skolan i Sverige AB,74358019,148,"95,3",~100,"282,0",..,..,"95,2",~100,"281,4",2015
Nacka,Kunskapsskolan Nacka,Enskild,Kunskapsskolan i Sverige Aktiebolag,87425546,102,"97,1",~100,"278,4",102,"100,0","97,1",~100,"278,4",2015
Nacka,Kunskapsskolan Saltsjöbaden,Enskild,Kunskapsskolan i Sverige Aktiebolag,11496096,43,"100,0","100,0","299,5",43,"100,0","100,0","100,0","299,5",2015
Nacka,Maestroskolan Nacka,Enskild,Maestro Svindersvik Aktiebolag,64065898,..,..,..,..,..,..,..,..,..,2015
Nacka,Alphyddeskolan,Kommunal,Nacka,30066063,..,..,..,..,..,..,..,..,..,2015
Nacka,Björknässkolan,Kommunal,Nacka,75834458,88,"79,5","88,6","241,3",..,..,"83,3","92,9","247,6",2015
Nacka,Centrumskolan,Kommunal,Nacka,35986188,..,.,..,..,..,..,.,..,..,2015
Nacka,Eklidens skola,Kommunal,Nacka,47243834,216,"94,4",~100,"250,3",216,"100,0","94,4",~100,"250,3",2015
Nacka,Myrsjöskolan,Kommunal,Nacka,84884375,204,"95,6","97,1","265,3",204,"100,0","95,6","97,1","265,3",2015
Nacka,Saltsjöbadens samskola,Kommunal,Nacka,11777750,90,"88,9",~100,"252,9",..,..,"89,4",~100,"255,3",2015
Nacka,Skuru skola,Kommunal,Nacka,85321366,110,"88,2",~100,"255,6",..,..,"89,0",~100,"256,6",2015
Nacka,Stavsborgsskolan,Kommunal,Nacka,14040970,83,"88,0","94,0","250,9",..,..,"91,0",~100,"258,5",2015
Nacka,Snitz Grundskola Nacka,Enskild,PPS Power Planning System Aktiebolag,82438535,..,..,..,..,..,..,..,..,..,2015
Nacka,Johannes Petri skola,Enskild,Pysslingen Förskolor och Skolor AB,32965692,46,"87,0",~100,"251,9",..,..,"86,4",~100,"253,3",2015
Nacka,Montessorisk. Castello Nacka,Enskild,Pysslingen Förskolor och Skolor AB,34135484,20,"95,0","100,0","288,0",20,"100,0","95,0","100,0","288,0",2015
Nacka,Vittra Saltsjö-Boo,Enskild,Vittraskolorna AB,44802890,..,..,..,..,..,..,..,..,..,2015
Nora,Karlsängsskolan,Kommunal,Nora,40684137,87,"78,2","85,1","221,9",..,..,"81,0","88,1","224,5",2015
Norberg,Centralskolan,Kommunal,Norberg,22347371,56,"67,9","80,4","189,0",..,..,"71,2","84,6","195,0",2015
Nordanstig,Bergsjö Centralskola år 7-9,Kommunal,Nordanstig,95045408,66,"74,2","81,8","211,2",..,..,"79,0","87,1","213,6",2015
Nordmaling,Artediskolan åk 7-9,Kommunal,Nordmaling,58185455,71,"83,1",~100,"225,5",..,..,"84,1",~100,"226,4",2015
Norrköping,Jönsbergska Idrottsskolan,Enskild,Jönsbergska Idrottsskolan Norrköping AB,61454000,52,"94,2",~100,"264,4",52,"100,0","94,2",~100,"264,4",2015
Norrköping,Kunskapsskolan Norrköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,77437748,109,"96,3","100,0","267,6",109,"100,0","96,3","100,0","267,6",2015
Norrköping,Erlaskolan Norrköping Södra,Enskild,Lärande i Sverige AB,72526185,44,"72,7","79,5","226,6",44,"100,0","72,7","79,5","226,6",2015
Norrköping,Erlaskolan Norrköping Östra,Enskild,Lärande i Sverige AB,90838156,44,"77,3","88,6","216,8",44,"100,0","77,3","88,6","216,8",2015
Norrköping,Borgsmoskolan,Kommunal,Norrköping,26387738,75,"50,7","64,0","166,6",57,"76,0","56,1","73,7","177,5",2015
Norrköping,Djäkneparksskolan 7 och 9,Kommunal,Norrköping,59526276,164,"62,2","70,7","205,4",142,"86,6","67,6","77,5","216,7",2015
Norrköping,Ektorpsskolan,Kommunal,Norrköping,37133485,124,"58,9","83,9","206,5",..,..,"59,0","84,4","206,7",2015
Norrköping,Ektorpsskolans grundsärskola,Kommunal,Norrköping,12079022,..,..,..,..,..,..,..,..,..,2015
Norrköping,Enebyskolan H A+C,Kommunal,Norrköping,35609364,27,"81,5",~100,"234,7",27,"100,0","81,5",~100,"234,7",2015
Norrköping,Enebyskolan H B+D,Kommunal,Norrköping,24625357,62,"66,1","80,6","221,4",62,"100,0","66,1","80,6","221,4",2015
Norrköping,Hagaskolan 7-9,Kommunal,Norrköping,17315625,91,"78,0","84,6","222,5",..,..,"79,5","85,2","224,9",2015
Norrköping,Hultdalskolan,Kommunal,Norrköping,40393888,80,"87,5","90,0","224,3",..,..,"88,6","91,1","225,1",2015
Norrköping,Mosstorpsskolan,Kommunal,Norrköping,41484780,64,"76,6","90,6","220,5",64,"100,0","76,6","90,6","220,5",2015
Norrköping,Navestadsskolan 7-9,Kommunal,Norrköping,81182971,118,"62,7","71,2","194,4",92,"78,0","75,0","83,7","214,7",2015
Norrköping,Råsslaskolan 6-9,Kommunal,Norrköping,80621158,46,"82,6","84,8","212,4",46,"100,0","82,6","84,8","212,4",2015
Norrköping,Söderporten 4-9,Kommunal,Norrköping,24979620,75,"54,7","66,7","191,8",64,"85,3","59,4","71,9","200,8",2015
Norrköping,Vikbolandsskolan 4-9,Kommunal,Norrköping,86323840,50,"82,0","90,0","225,8",50,"100,0","82,0","90,0","225,8",2015
Norrköping,"Prolympia, Norrköping",Enskild,Prolympia AB,16013826,100,"79,0","87,0","212,0",..,..,"79,8","87,9","212,5",2015
Norrköping,"Rudolf Steinerskolan, gr",Enskild,Rudolf Steinerskolan,33530590,19,"68,4","68,4","205,1",19,"100,0","68,4","68,4","205,1",2015
Norrköping,Johannesskolan Norrkpg Kr Sk,Enskild,Stiftelsen Församlingen Agape,57529996,..,..,..,..,..,..,..,..,..,2015
Norrköping,Stegehus Waldorfskola,Enskild,Stiftelsen Steget,73656861,..,.,.,..,..,..,.,.,..,2015
Norrköping,Vittra Röda stan,Enskild,Vittraskolorna AB,38936292,24,"70,8",~100,"199,5",24,"100,0","70,8",~100,"199,5",2015
Norrtälje,"Ekebyholmsskolan, gr",Enskild,Ekebyholmsskolan Aktiebolag,98239828,27,"96,3","100,0","244,4",27,"100,0","96,3","100,0","244,4",2015
Norrtälje,Freinetskolan Hugin,Enskild,Freinetskolan Hugin Ekonomisk förening,89692072,19,"94,7","100,0","252,1",19,"100,0","94,7","100,0","252,1",2015
Norrtälje,Freinetskolan Mimer,Enskild,Freinetskolan Mimer ekonomisk förening,45133950,24,"91,7",~100,"246,9",24,"100,0","91,7",~100,"246,9",2015
Norrtälje,Montessoriskolan i Norrtälje,Enskild,Montessori i Norrtälje AB,99665701,18,"94,4","100,0","255,8",18,"100,0","94,4","100,0","255,8",2015
Norrtälje,Bålbro skola,Kommunal,Norrtälje,45874608,26,"80,8",~100,"234,7",26,"100,0","80,8",~100,"234,7",2015
Norrtälje,Grindskolan,Kommunal,Norrtälje,29416145,25,"96,0",~100,"257,5",25,"100,0","96,0",~100,"257,5",2015
Norrtälje,Hallsta skola,Kommunal,Norrtälje,24146389,43,"76,7","86,0","218,7",..,..,"78,0","87,8","222,1",2015
Norrtälje,Lommarskolan,Kommunal,Norrtälje,15312030,28,"57,1","82,1","189,7",..,..,"57,7","80,8","191,9",2015
Norrtälje,Långsjöskolan,Kommunal,Norrtälje,99749462,38,"57,9","65,8","198,5",..,..,"76,9",~100,"220,8",2015
Norrtälje,Länna skola,Kommunal,Norrtälje,72471883,34,"85,3",~100,"217,6",34,"100,0","85,3",~100,"217,6",2015
Norrtälje,Norrsundsskolan,Kommunal,Norrtälje,39351914,31,"87,1",~100,"258,8",31,"100,0","87,1",~100,"258,8",2015
Norrtälje,Roslagsskolan,Kommunal,Norrtälje,31851256,163,"71,8","83,4","211,3",148,"90,8","79,1","91,9","225,3",2015
Norrtälje,Rådmansö skola,Kommunal,Norrtälje,50905672,13,"76,9",~100,"236,7",13,"100,0","76,9",~100,"236,7",2015
Norrtälje,Svanbergaskolan,Kommunal,Norrtälje,59975651,34,"55,9","70,6","189,4",34,"100,0","55,9","70,6","189,4",2015
Norrtälje,Viby friskola,Enskild,Ogenholts Friskola AB,54806839,17,"100,0","100,0","248,1",17,"100,0","100,0","100,0","248,1",2015
Norsjö,Norsjöskolan 6-9,Kommunal,Norsjö,65848878,47,"63,8","72,3","206,3",..,..,"76,3","81,6","223,9",2015
Nybro,Alsterbro skola,Kommunal,Nybro,62698200,15,"66,7",~100,"191,2",12,"80,0","83,3",~100,"225,8",2015
Nybro,Madesjöskolan Ma02,Kommunal,Nybro,38198417,76,"89,5","93,4","231,0",..,..,"89,3","93,3","230,7",2015
Nybro,Paradisskolan Pa02,Kommunal,Nybro,79650118,87,"71,3","78,2","209,3",..,..,"79,2","87,0","223,9",2015
Nykvarn,Lillhagaskolan,Kommunal,Nykvarn,99640618,112,"92,9","95,5","236,0",112,"100,0","92,9","95,5","236,0",2015
Nyköping,Båktorp skolan,Enskild,Båktorp AB,17393295,..,.,.,.,..,..,.,.,.,2015
Nyköping,Studiero,Enskild,HVB Lappetorp AB,98693413,..,.,.,..,..,..,.,.,..,2015
Nyköping,Kunskapsskolan Nyköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,88046003,98,"91,8","94,9","245,8",98,"100,0","91,8","94,9","245,8",2015
Nyköping,Fokusskolan,Enskild,Nyfo AB,18915192,17,"94,1","100,0","245,7",17,"100,0","94,1","100,0","245,7",2015
Nyköping,Nykopings högstadium Alpha,Kommunal,Nyköping,12096817,188,"72,3","87,8","211,5",..,..,"73,0","88,1","211,7",2015
Nyköping,Nyköpings högstadium Omega,Kommunal,Nyköping,99757444,203,"70,9","78,8","218,7",181,"89,2","79,6","87,8","234,5",2015
Nyköping,Nyköpings Friskola,Enskild,Pysslingen Förskolor och Skolor AB,20254025,19,"94,7",~100,"214,1",19,"100,0","94,7",~100,"214,1",2015
Nyköping,Vittra Kungshagen,Enskild,Vittraskolorna AB,50698424,21,"66,7",~100,"212,0",21,"100,0","66,7",~100,"212,0",2015
Nynäshamn,Gröndalsskolan F-9,Kommunal,Nynäshamn,65717061,83,"89,2","94,0","227,4",..,..,"93,6",~100,"231,3",2015
Nynäshamn,Sunnerbyskolan F-9,Kommunal,Nynäshamn,78703073,45,"57,8","66,7","196,0",..,..,"59,1","68,2","196,3",2015
Nynäshamn,Vanstaskolan 4-9,Kommunal,Nynäshamn,73184416,56,"67,9","75,0","226,4",..,..,"70,4","74,1","231,5",2015
Nynäshamn,Viaskolan 6-9,Kommunal,Nynäshamn,34814578,59,"83,1","91,5","229,3",..,..,"84,5",~100,"231,5",2015
Nässjö,Brinells högstadium,Kommunal,Nässjö,27489659,97,"75,3","85,6","206,9",..,..,"79,5","87,5","210,1",2015
Nässjö,Norråsaskolan,Kommunal,Nässjö,19118399,116,"55,2","68,1","196,4",101,"87,1","62,4","73,3","207,5",2015
Nässjö,Parkskolan,Kommunal,Nässjö,97882848,55,"76,4","89,1","216,0",..,..,"80,4",~100,"222,0",2015
Nässjö,Rosenholmsskolan,Kommunal,Nässjö,66394964,23,"82,6",~100,"210,4",23,"100,0","82,6",~100,"210,4",2015
Ockelbo,Perslundaskolan,Kommunal,Ockelbo,40000547,50,"84,0","84,0","224,7",..,..,"85,1","85,1","227,8",2015
Olofström,Högavångsskolan,Kommunal,Olofström,53603984,117,"78,6","84,6","211,7",99,"84,6","89,9","94,9","224,7",2015
Orsa,Orsaskolan,Kommunal,Orsa,19694910,69,"69,6","81,2","214,4",..,..,"72,3","84,6","218,9",2015
Orust,Henåns skola år 7-9,Kommunal,Orust,76943513,81,"71,6","88,9","215,9",..,..,"76,7","93,2","219,6",2015
Orust,Ängås 7-9 skola,Kommunal,Orust,34557677,63,"81,0","88,9","223,1",..,..,"83,1","89,8","223,4",2015
Orust,Orust Waldorfskola,Enskild,Waldorfpedagogik på Orust ekonomisk förening,57712538,..,..,..,..,..,..,..,..,..,2015
Osby,Hasslarödsskolan 4-9,Kommunal,Osby,25927535,72,"72,2","83,3","220,2",..,..,"78,5","90,8","227,8",2015
Osby,Parkskolan F-9,Kommunal,Osby,67946840,39,"71,8","87,2","221,5",..,..,"77,1",~100,"233,9",2015
Osby,Visslan,Kommunal,Osby,65486343,..,.,.,..,..,..,.,.,..,2015
Osby,Örkenedsskolan 4-9,Kommunal,Osby,99562575,27,"77,8",~100,"197,6",27,"100,0","77,8",~100,"197,6",2015
Oskarshamn,Kristinebergskolan 7-9,Kommunal,Oskarshamn,73392316,79,"74,7","81,0","216,9",..,..,"82,6","88,4","224,2",2015
Oskarshamn,Rödsleskolan 7-9,Kommunal,Oskarshamn,40041600,90,"80,0","87,8","217,3",90,"100,0","80,0","87,8","217,3",2015
Oskarshamn,Vallhallaskolan 7-9,Kommunal,Oskarshamn,46592871,98,"78,6","81,6","221,5",..,..,"81,9","85,1","225,2",2015
Ovanåker,Alftaskolan 7-9,Kommunal,Ovanåker,92304123,41,"75,6","78,0","221,5",..,..,"81,6","84,2","228,0",2015
Ovanåker,Celsiusskolan 7-9,Kommunal,Ovanåker,43362307,71,"66,2","73,2","193,9",61,"85,9","77,0","85,2","215,0",2015
Oxelösund,Breviksskolan åk 6-9,Kommunal,Oxelösund,34893654,87,"67,8","77,0","193,2",..,..,"73,4","83,5","195,5",2015
Pajala,Gårdbyskolan,Kommunal,Pajala,55662841,11,..,..,"200,8",..,..,..,..,..,2015
Pajala,Junosuando Centralskola,Kommunal,Pajala,80594830,..,..,..,..,..,..,..,..,..,2015
Pajala,Pajala Centralskola,Kommunal,Pajala,12443258,41,"90,2",~100,"228,8",41,"100,0","90,2",~100,"228,8",2015
Pajala,Tärendö Centralskola,Kommunal,Pajala,37347252,..,..,..,..,..,..,..,..,..,2015
Partille,Casa Montessori,Enskild,Montessoristiftelsen i Partille,68358072,21,"100,0","100,0","270,0",21,"100,0","100,0","100,0","270,0",2015
Partille,Björndammens skola 4-9,Kommunal,Partille,98209377,42,"71,4","81,0","224,8",42,"100,0","71,4","81,0","224,8",2015
Partille,Furulunds skola 6-9,Kommunal,Partille,89146220,77,"72,7","79,2","212,1",..,..,"79,4","86,8","227,5",2015
Partille,Lexby skola 6-9,Kommunal,Partille,51610240,111,"82,9","91,9","227,7",111,"100,0","82,9","91,9","227,7",2015
Partille,Ugglums skola 5-9,Kommunal,Partille,78100490,55,"94,5",~100,"259,1",55,"100,0","94,5",~100,"259,1",2015
Partille,Vallhamra skola 7-9,Kommunal,Partille,92848832,80,"88,8","90,0","219,2",..,..,"89,9","89,9","219,6",2015
Partille,Öjersjö Brunn skola 4-9,Kommunal,Partille,49402521,59,"84,7",~100,"242,0",59,"100,0","84,7",~100,"242,0",2015
Perstorp,Centralskolan 1,Kommunal,Perstorp,97348759,66,"68,2","90,9","215,3",..,..,"69,2","92,3","217,4",2015
Piteå,Christina skolenhet,Kommunal,Piteå,94591900,80,"91,3",~100,"238,4",80,"100,0","91,3",~100,"238,4",2015
Piteå,Hortlax skolenhet,Kommunal,Piteå,10185533,94,"92,6",~100,"234,2",94,"100,0","92,6",~100,"234,2",2015
Piteå,Pitholm skolenhet 7-9,Kommunal,Piteå,18339846,68,"83,8",~100,"231,8",68,"100,0","83,8",~100,"231,8",2015
Piteå,Porsnäs skolenhet,Kommunal,Piteå,18748381,54,"77,8","90,7","214,6",..,..,"82,4",~100,"224,8",2015
Piteå,Sjulnässkolan,Kommunal,Piteå,42296356,51,"92,2","100,0","249,7",51,"100,0","92,2","100,0","249,7",2015
Piteå,Solanderskolan 4-9 skolenhet,Kommunal,Piteå,69993304,56,"82,1","83,9","218,4",..,..,"84,6","86,5","224,1",2015
Piteå,Solanderskolan HÖ skolenhet,Kommunal,Piteå,69238669,..,.,.,..,..,..,.,.,..,2015
Ragunda,Anders-Olofskolan,Kommunal,Ragunda,78545687,36,"72,2","75,0","208,5",..,..,"86,7",~100,"231,8",2015
Ragunda,Hansåkerskolan,Kommunal,Ragunda,22316816,16,"81,3",~100,"201,9",..,..,"86,7",~100,"211,7",2015
Robertsfors,Tundalsskolan åk 7-9,Kommunal,Robertsfors,74131494,60,"60,0","70,0","211,1",..,..,"67,3","76,9","217,9",2015
Ronneby,Karl-Oskarskolan i Ronneby,Enskild,Karl-Oskar Utbildning AB,38449858,65,"86,2","92,3","226,5",65,"100,0","86,2","92,3","226,5",2015
Ronneby,Kallingeskolan 7-9,Kommunal,Ronneby,53155267,75,"60,0","81,3","202,8",74,"98,7","60,8","82,4","205,4",2015
Ronneby,Snäckebacksskolan,Kommunal,Ronneby,73745566,150,"70,0","80,0","211,0",127,"84,7","81,1","92,1","224,5",2015
Rättvik,Furudals centralskola,Kommunal,Rättvik,30917018,22,"86,4",~100,"222,3",..,..,"85,0",~100,"221,9",2015
Rättvik,Rättviksskolan,Kommunal,Rättvik,73451967,94,"77,7","89,4","208,4",..,..,"79,3","89,1","210,0",2015
Sala,Ekebyskolan,Kommunal,Sala,36193586,108,"80,6","92,6","225,4",..,..,"82,7","94,2","227,8",2015
Sala,Vallaskolan 7-9,Kommunal,Sala,64954528,114,"79,8","90,4","225,8",114,"100,0","79,8","90,4","225,8",2015
Salem,Nytorpsskolan,Kommunal,Salem,36262199,30,"96,7","100,0","256,6",30,"100,0","96,7","100,0","256,6",2015
Salem,Rönninge skola,Kommunal,Salem,71677992,40,"92,5",~100,"252,0",..,..,"92,3",~100,"252,5",2015
Salem,Skogsängsskolan,Kommunal,Salem,58385274,56,"78,6","83,9","214,2",..,..,"88,0",~100,"231,6",2015
Salem,Säbyskolan,Kommunal,Salem,92406445,35,"82,9","85,7","220,2",35,"100,0","82,9","85,7","220,2",2015
Salem,Söderby friskola,Enskild,Söderby Friskola Ekonomisk Förening,56858061,25,"68,0",~100,"223,4",25,"100,0","68,0",~100,"223,4",2015
Sandviken,Prosperitas utbildning,Enskild,Prosperitas Utbildning AB,91119383,19,"63,2",~100,"195,9",19,"100,0","63,2",~100,"195,9",2015
Sandviken,Hedängskolan 7-9,Kommunal,Sandviken,23876630,52,"73,1","88,5","216,5",52,"100,0","73,1","88,5","216,5",2015
Sandviken,Jernvallsskolan 4-9,Kommunal,Sandviken,30006957,51,"66,7","76,5","195,8",..,..,"72,3","83,0","210,8",2015
Sandviken,Murgårdsskolan  7-9,Kommunal,Sandviken,26036265,96,"55,2","69,8","190,9",84,"87,5","61,9","78,6","206,4",2015
Sandviken,Söderskolan 7-9,Kommunal,Sandviken,17988128,121,"71,9","81,0","210,7",..,..,"75,7","85,2","214,6",2015
Sandviken,Österfärnebo skola,Kommunal,Sandviken,73076578,22,"59,1","63,6","167,8",20,"90,9","65,0","70,0","181,9",2015
Sandviken,Sandvikens Montessoriskola,Enskild,Sandvikens Montessoriskolas Ekonomiska Förening,17233525,20,"75,0",~100,"231,3",20,"100,0","75,0",~100,"231,3",2015
Sigtuna,Ekillaskolan,Kommunal,Sigtuna,14261356,176,"64,8","71,0","214,4",146,"83,0","74,7","80,8","226,5",2015
Sigtuna,S:t Olofs skola,Kommunal,Sigtuna,13579948,118,"88,1","93,2","227,1",118,"100,0","88,1","93,2","227,1",2015
Sigtuna,Valstaskolan,Kommunal,Sigtuna,61234191,99,"60,6","71,7","194,8",74,"74,7","73,0","85,1","215,6",2015
Sigtuna,Skolan Bergius,Enskild,Sigtuna Friskola AB,35008423,61,"83,6",~100,"248,6",61,"100,0","83,6",~100,"248,6",2015
Sigtuna,"Sigtunaskolan hum. läroverket, gr",Enskild,Sigtuna Skolstiftelse,70883860,48,"81,3",~100,"236,3",..,..,"83,7",~100,"238,1",2015
Sigtuna,"Josefinaskolan, grundskola",Enskild,Stiftelsen Josefinaskolan,55508705,21,"71,4",~100,"248,3",21,"100,0","71,4",~100,"248,3",2015
Simrishamn,Famn,Enskild,"Familjebehandlingsalternativ i Nätverk, Famn AB",68370166,..,.,..,..,..,..,.,..,..,2015
Simrishamn,Nils Holgerssonskolan,Enskild,Föräldrakooperativet Nils Holgerssonskolan Ek Fö,24445412,26,"88,5",~100,"235,6",26,"100,0","88,5",~100,"235,6",2015
Simrishamn,Korsavadsskolan,Kommunal,Simrishamn,66350640,124,"75,0","87,1","221,3",..,..,"74,8","87,8","220,3",2015
Simrishamn,Sophiaskolan,Enskild,"Stift Sophiaskolan, Österlens Waldorfskola",59958745,21,"81,0","100,0","254,0",21,"100,0","81,0","100,0","254,0",2015
Sjöbo,Vollsjö Friskola,Enskild,Almaröd Friskola AB,78396564,..,..,..,..,..,..,..,..,..,2015
Sjöbo,Emanuelskolan,Kommunal,Sjöbo,37998000,34,"61,8","67,6","226,3",..,..,"65,6","71,9","232,5",2015
Sjöbo,"Färsinga lärcentrum, åk 4-9",Kommunal,Sjöbo,17176734,83,"61,4","72,3","198,5",..,..,"65,8","77,6","208,8",2015
Sjöbo,Storkskolan,Kommunal,Sjöbo,55675413,21,"61,9","76,2","202,5",..,..,"65,0",~100,"205,8",2015
Skara,Friskolan Metis,Enskild,Lärocentrum i Skara Ekonomisk Förening,46013569,18,"72,2",~100,"233,2",18,"100,0","72,2",~100,"233,2",2015
Skara,Djäkneskolan,Kommunal,Skara,25963247,90,"66,7","73,3","200,5",..,..,"71,1","78,3","208,6",2015
Skara,Teglaskolan,Kommunal,Skara,35308702,99,"85,9","88,9","223,6",..,..,"95,5",~100,"236,6",2015
Skellefteå,Björnåkersskolan 6-9,Kommunal,Skellefteå,61150314,44,"86,4",~100,"228,7",..,..,"86,0",~100,"229,1",2015
Skellefteå,Bolidenskolan 6-9,Kommunal,Skellefteå,69217837,35,"74,3","85,7","212,1",..,..,"80,6",~100,"218,9",2015
Skellefteå,Brännanskolan,Kommunal,Skellefteå,16211359,82,"87,8","91,5","234,7",..,..,"91,1","93,7","238,8",2015
Skellefteå,Bureskolan 6-9,Kommunal,Skellefteå,62125265,45,"77,8",~100,"230,0",..,..,"79,5","100,0","234,3",2015
Skellefteå,Byskeskolan 6-9,Kommunal,Skellefteå,97534677,54,"70,4","77,8","202,8",..,..,"74,5","82,4","211,4",2015
Skellefteå,Furuskolan,Kommunal,Skellefteå,62717625,14,"100,0","100,0","225,0",..,..,"100,0","100,0","230,6",2015
Skellefteå,Kanalskolan,Kommunal,Skellefteå,94485755,74,"87,8",~100,"228,7",..,..,"90,3",~100,"231,8",2015
Skellefteå,Kågeskolan 6-9,Kommunal,Skellefteå,66412077,52,"86,5","90,4","230,4",52,"100,0","86,5","90,4","230,4",2015
Skellefteå,Lövångersskolan,Kommunal,Skellefteå,87194036,14,"85,7",~100,"235,0",..,..,"91,7","100,0","245,8",2015
Skellefteå,Norrhammarskolan 6-9,Kommunal,Skellefteå,40166272,90,"86,7",~100,"231,1",..,..,"88,6",~100,"231,6",2015
Skellefteå,Sörböleskolan Väst,Kommunal,Skellefteå,21889785,101,"70,3","80,2","200,2",90,"89,1","78,9","87,8","214,8",2015
Skellefteå,Sörböleskolan Öst,Kommunal,Skellefteå,83796196,10,.,.,..,..,..,.,.,.,2015
Skellefteå,Ursviksskolan 6-9,Kommunal,Skellefteå,37579892,61,"95,1",~100,"235,6",..,..,"98,3",~100,"241,8",2015
Skellefteå,Örjansskolan 6-9,Kommunal,Skellefteå,99512173,60,"61,7","76,7","203,4",..,..,"64,9","78,9","208,1",2015
Skellefteå,Björkskolan,Enskild,Skellefteå Kristna Skolförening,65417636,20,"80,0",~100,"212,3",20,"100,0","80,0",~100,"212,3",2015
Skinnskatteberg,Klockarbergsskolan,Kommunal,Skinnskatteberg,62958817,29,"48,3","55,2","194,9",..,..,"56,0","64,0","203,1",2015
Skurup,Alléskolan,Kommunal,Skurup,60217642,22,"86,4",~100,"236,9",22,"100,0","86,4",~100,"236,9",2015
Skurup,Fotbollsakademin,Kommunal,Skurup,74292006,47,"91,5",~100,"249,6",47,"100,0","91,5",~100,"249,6",2015
Skurup,Mackleanskolan,Kommunal,Skurup,21999433,90,"64,4","83,3","209,7",90,"100,0","64,4","83,3","209,7",2015
Skövde,Mia skola,Enskild,Mia skola AB,94502924,..,.,..,..,..,..,.,..,..,2015
Skövde,Eriksdalskolan 483,Kommunal,Skövde,97361837,60,"83,3","85,0","212,4",..,..,"94,3",~100,"228,7",2015
Skövde,Helenaskolan 475,Kommunal,Skövde,54790414,207,"79,2","89,9","227,0",..,..,"81,0","92,0","231,2",2015
Skövde,Stöpenskolan,Kommunal,Skövde,89477299,109,"84,4","90,8","232,3",..,..,"87,5","94,2","240,4",2015
Skövde,Vasaskolan,Kommunal,Skövde,16057411,160,"86,9","91,3","232,7",..,..,"88,0","92,4","234,8",2015
Smedjebacken,Bergaskolan,Kommunal,Smedjebacken,81136807,64,"65,6","71,9","193,8",..,..,"75,0","80,4","204,0",2015
Smedjebacken,Kyrkskolan,Kommunal,Smedjebacken,68814096,26,"92,3",~100,"242,3",26,"100,0","92,3",~100,"242,3",2015
Sollefteå,Junsele skola,Kommunal,Sollefteå,49748045,20,"95,0",~100,"218,5",20,"100,0","95,0",~100,"218,5",2015
Sollefteå,Ramsele skola,Kommunal,Sollefteå,20197159,13,"84,6",~100,"219,6",13,"100,0","84,6",~100,"219,6",2015
Sollefteå,Vallaskolan 4-9,Kommunal,Sollefteå,74074564,..,.,.,..,..,..,.,.,.,2015
Sollefteå,Vallaskolan 7-9,Kommunal,Sollefteå,70478601,180,"67,2","77,2","192,1",156,"86,7","76,9","87,8","206,8",2015
Sollentuna,Futuraskolan Hertig Karl,Enskild,Futuraskolan AB,40467992,24,"91,7",~100,"258,3",24,"100,0","91,7",~100,"258,3",2015
Sollentuna,Futuraskolan Rådan,Enskild,Futuraskolan AB,47986219,..,..,..,..,..,..,..,..,..,2015
Sollentuna,Mikaelskolan,Enskild,Föreningen Mikaelskolan,85777315,19,"89,5",~100,"255,7",19,"100,0","89,5",~100,"255,7",2015
Sollentuna,Norrvikens skola,Enskild,Norrviken Utbildning AB,47462120,43,"74,4","86,0","221,6",..,..,"73,8","85,7","220,1",2015
Sollentuna,Edsbergsskolan,Kommunal,Sollentuna,38076081,115,"87,0","93,0","249,1",..,..,"89,2","95,5","254,3",2015
Sollentuna,Edsbergsskolans Förberedelsekl,Kommunal,Sollentuna,85230659,..,.,.,..,..,..,.,.,.,2015
Sollentuna,Förberedelseklasser,Kommunal,Sollentuna,91113722,..,.,.,..,..,..,.,.,.,2015
Sollentuna,Gärdesskolan,Kommunal,Sollentuna,77585025,64,"95,3","100,0","259,1",64,"100,0","95,3","100,0","259,1",2015
Sollentuna,Helenelundsskolan,Kommunal,Sollentuna,15572902,117,"94,9",~100,"264,8",..,..,"95,7",~100,"266,5",2015
Sollentuna,Häggviksskolan,Kommunal,Sollentuna,96594250,38,"60,5","81,6","230,3",..,..,"68,8",~100,"237,7",2015
Sollentuna,Häggviksskolan LSI,Kommunal,Sollentuna,68505032,..,..,..,..,..,..,..,..,..,2015
Sollentuna,Runbacka skolor/Fenix,Kommunal,Sollentuna,43236825,..,..,..,..,..,..,..,..,..,2015
Sollentuna,Runbacka skolor/Runan,Kommunal,Sollentuna,62737044,54,"90,7","100,0","262,2",..,..,"92,3","100,0","261,4",2015
Sollentuna,Sofielundsskolan,Kommunal,Sollentuna,68288321,53,"96,2",~100,"243,8",..,..,"96,1",~100,"245,4",2015
